TICKER, CUR_RATIO, CUR_RATIO_AV, CUR_RATIO_CMP_TO_AV, PRICE_TO_BOOK, EARNING_GROWTH_YOY, EARNING_GROWTH_AV, EARNING_GROWTH_CMP_TO_AV, ALTMAN_ZSCORE, DIVIDEND_YIELD
MMM, 1.857291531156498, 1.7200425152843348, 0.1372490158721631, 11.224853642363104, -0.037366548042704624, -0.7641364945633503, 0.7267699465206456, 1.8605722173643693, 0.028300000000000002
ABT, 2.2606597845601435, 2.2518869079741397, 0.008772876586003786, 1.6126471284843533, -0.6679209783631233, 0.21241238113843916, -0.8803333595015624, 0.6713831715676593, 0.016
ABBV, 1.2753440298059011, 2.400151267157737, -1.1248072373518359, 21.762548188377057, -0.10818074920208298, -0.092517543328727, -0.015663205873355984, 1.0785578193819059, 0.0479
ACN, 1.3382478549759544, 1.554371715684612, -0.21612386070865752, 10.004951809995564, 0.15946983327335973, 3.489899179315104, -3.3304293460417442, 2.821262126375246, 0.0184
ATVI, 1.77996177996178, 1.8617676930527631, -0.08180591309098317, 3.071864482684403, -0.717391304347826, 0.31319553523993765, -1.0305868395877638, 0.82013586898754, 0.0049
AAP, 1.559408257873272, 1.559408257873272, 0.0, 3.182283302330569, 0.03455665742719017, 0.03455665742719017, 0.0, 1.7172695161101712, 0.0015
AES, 1.0613802256138023, 1.1962011167261053, -0.134820891112303, 1.3601049917858266, -1.774869109947644, -1.174820109399051, -0.600049000548593, 0.5517004284910129, 0.0353
AET, 0.912098354813803, 1.1465796052782662, -0.23448125046446322, 2.2788712254394814, -0.15558510638297873, 0.7314515521814611, -0.8870366585644398, 1.4127508347996243, 0.01
AMG, 1.6372748895684675, 3.7145084825912247, -2.0772335930227572, 1.7645615887021278, 0.36495263870094724, 0.2249034760529996, 0.14004916264794764, 0.7855519013651469, 0.0106
AFL, 0.4359972677595628, 2.2786661789894374, -1.8426689112298744, 1.3154105953650337, 0.7314779992478375, 0.7542065809228914, -0.02272858167505387, 0.23966296550843036, 0.024300000000000002
A, 3.3008709422011084, 2.2518869079741397, 1.0489840342269687, 10.195645796498015, 0.4805194805194805, 0.21241238113843916, 0.2681070993810414, 1.4075823458083454, 0.0091
APD, 2.3610687022900763, 1.6772080735520536, 0.6838606287380227, 2.597467330666486, 0.029590017825311943, -0.05997742281686289, 0.08956744064217484, 1.0597019767279137, 0.028300000000000002
ALK, 0.7948148148148149, 0.6173616932359995, 0.17745312157881532, 2.604943335675029, 0.2702702702702703, 0.06027936977804329, 0.209990900492227, 1.2334575853303735, 0.020099999999999996
ALB, 2.0630455690405314, 1.851588995265958, 0.21145657377457328, 0.9201676230039172, -0.7921853258621339, 0.24874152948010178, -1.0409268553422357, 0.9024546749658895, 0.0127
ARE, 1.7826500071262292, 3.5482943954945076, -1.7656443883682784, 1.3120378356514595, 4.8997570232333985, 0.9324134170656921, 3.9673436061677063, 0.23649471779944145, 0.0304
ALLE, 2.2411024305555554, 2.4624523102639033, -0.22134987970834796, 20.198442943597374, 0.1967993079584775, 0.2744743456225603, -0.07767503766408279, 2.02793110484787, 0.0096
AGN, 1.1552177577400717, 2.400151267157737, -1.2449335094176652, 1.5630897311346454, -2.974331550802139, -0.092517543328727, -2.881814007473412, 0.10409983042376696, 0.0182
ADS, 2.43484088422837, 1.5664104703827437, 0.8684304138456262, 5.1743782623800945, 0.5237635239567233, 0.5519058347009648, -0.02814231074424145, 1.0029694697065341, 0.011000000000000001
LNT, 0.42117263843648206, 0.6374332984974767, -0.2162606600609946, 2.1408917615742182, 0.21963616907437133, 0.3800845225216797, -0.16044835344730835, 0.3307612412652218, 0.0313
ALL, 0.6932606541129831, 0.6761028482688358, 0.017157805844147278, 1.342522799076724, 0.6989877464038359, -3.1757702101879763, 3.874757956591812, 0.42996451746521924, 0.020499999999999997
MO, 0.6395759717314488, 0.9962069809791188, -0.35663100924767, 7.578026313401088, -0.2820134793597304, -0.203696394852279, -0.07831708450745142, 1.4781084839957195, 0.050300000000000004
AEE, 0.5482993197278911, 0.8043503902413289, -0.2560510705134378, 1.8511860459500284, -0.19726858877086495, 0.29707526106145066, -0.4943438498323156, 0.3830556366127138, 0.029500000000000002
AAL, 0.6112002138465651, 0.6173616932359995, -0.006161479389434454, 5.821915229930803, -0.2828849028400598, 0.06027936977804329, -0.34316427261810306, 1.0441254210505875, 0.011399999999999999
AEP, 0.5141997025860505, 0.6374332984974767, -0.12323359591142613, 1.9734500834117994, 2.108622078968574, 0.3800845225216797, 1.728537556446894, 0.3809178857576847, 0.036699999999999997
AXP, 1.7679759214232924, 0.8608531355395896, 0.9071227858837028, 3.793527419622354, -0.4940828402366864, -0.29894619198377087, -0.19513664825291555, 0.6645781014166239, 0.015
AIG, 0.5917532731802706, 0.6761028482688358, -0.08434957508856522, 0.5565618020773186, -22.397683397683398, -3.1757702101879763, -19.22191318749542, 0.0026660102264672025, 0.031
AMT, 0.8109151705744199, 1.1759227553980418, -0.36500758482362194, 9.334929073370487, 0.2627782357790602, 0.3369287316452216, -0.0741504958661614, 0.4622895521629592, 0.0207
AWK, 0.3096774193548387, 0.3096774193548387, 0.0, 2.664028578111378, -0.08974358974358974, -0.08974358974358974, 0.0, 0.3090174148933653, 0.0206
AMP, 2.491346629306082, 3.7145084825912247, -1.2231618532851427, 2.822459770275548, 0.1263318112633181, 0.2249034760529996, -0.09857166478968149, 0.2395627567420734, 0.0277
ABC, 0.906225276785343, 1.958814415235984, -1.052589138450641, 3.320662839040624, -0.744746412461684, -0.583768521768018, -0.16097789069366608, 4.454261149100635, 0.0167
