Ticker,Sector,Industry,Price,Market Cap (intraday),Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Diluted EPS,EPS Beat Ratio,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta (3Y Monthly),Shares Outstanding,Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Net Income Avi to Common,Enterprise Value
A,Healthcare,Diagnostics & Research,86.46,27000000000.0,25.83,22.91,2.74,5.25,5.67,5.36,21.6,20.74,20.2,7.25,22.99,5160000000.0,16.44,5.6,2810000000.0,1280000000.0,3.37,1.0471,-0.5,1380000000.0,4.45,2410000000.0,50.69,1.53,15.36,1020000000.0,846630000.0,nan,309000000.0,0.72,0.85,0.66,0.76,0.94,19.47,1070000000.0000001,27680000000.0
AA,Basic Materials,Aluminum,20.46,3700000000.0,nan,26.84,1.57,0.33,0.81,0.6,3.93,-7.0,9.16,4.21,-4.28,11340000000.0,61.22,-24.3,3320000000.0,1740000000.0,-4.29,1.3333,nan,841000000.0,4.53,1960000000.0,30.64,1.48,24.46,959000000.0,680750000.0,nan,185570000.0,nan,nan,0.36,1.76,nan,0.0,-794000000.0,6850000000.0
AACG,Consumer Defensive,Education & Training Services,1.57,45000000.0,nan,nan,nan,nan,nan,nan,nan,-163.21,0.0,-9.47,-25.32,nan,nan,4108.0,-2910000.0,nan,nan,nan,nan,nan,nan,nan,6.99,0.52,nan,nan,nan,nan,28380000.0,nan,nan,nan,nan,nan,0.0,nan,37630000.0
AAL,Industrials,Airlines,28.09,12000000000.0,7.98,5.38,0.57,0.27,77.23,0.91,6.84,3.52,8.35,4.16,nan,45390000000.0,100.9,3.0,12200000000.0,6060000000.0,3.53,1.0216,14.2,5170000000.0,11.8,34440000000.0,21525.0,0.49,0.37,3930000000.0,564120000.0,nan,438060000.0,0.4,1.45,0.4,1.44,1.01,11.3,1600000000.0,41470000000.0
AAN,Industrials,Rental & Leasing Services,58.92,3900000000.0,20.03,13.01,0.7,1.0,2.1,1.14,7.11,5.09,13.81,11.48,11.03,3940000000.0,58.26,1.1,1910000000.0,634250000.0,2.92,0.8902,-9.0,150260000.0,2.24,721550000.0,38.63,1.66,27.81,344260000.0,2230000000.0,nan,67150000.0,0.16,0.28,0.14,0.24,0.29,4.81,200270000.0,4510000000.0
AAOI,Technology,Semiconductors,12.89,272000000.0,nan,-24.91,-1.02,1.36,0.88,1.62,-14.0,-19.57,-24.46,-6.34,-12.29,200230000.0,10.06,-18.3,87770000.0,-23100000.0,-1.97,0.625,nan,69990000.0,3.48,137980000.0,45.65,2.96,15.07,-10190000.0,-33009999.999999996,nan,20120000.0,nan,nan,nan,nan,nan,0.0,-39190000.0,323400000.0
AAON,Industrials,Building Products & Equipment,50.36,2600000000.0,53.08,38.61,4.12,5.74,9.5,5.61,29.97,10.94,13.84,11.93,18.98,459100000.0,8.81,0.5,103530000.0,85980000.0,0.96,0.9286,-1.8,28370000.0,0.55,nan,nan,3.16,5.36,81250000.0,30010000.0,nan,52100000.0,0.32,0.64,0.32,0.64,0.77,33.33,50230000.0,2580000000.0
AAP,Consumer Cyclical,Specialty Retail,153.78,10000000000.0,24.66,16.92,1.26,1.07,3.03,1.38,13.92,4.58,7.52,4.54,12.49,9700000000.0,135.19,1.6,4230000000.0000005,963470000.0,6.17,1.0244,6.8,573730000.0,8.33,3190000000.0,92.28,1.3,50.17,838070000.0,541310000.0,nan,69260000.0,0.24,0.15,0.24,0.16,0.17,3.87,444430000.0,13410000000.0
AAPL,Technology,Consumer Electronics,307.23,1400000000000.0,25.97,20.66,2.2,5.28,15.16,5.12,17.43,21.24,24.57,11.35,55.92,260170000000.00003,56.34,1.8,98390000000.0,76480000000.0,11.89,nan,-3.1,100560000000.0,22.63,108050000000.0,119.4,1.54,20.36,69390000000.0,42910000000.0,nan,4440000000.0,3.08,1.04,3.0,0.99,1.62,25.23,55260000000.0,1330000000000.0
AAT,Real Estate,REIT—Diversified,45.43,2700000000.0,58.74,44.19,18.95,7.67,2.07,11.43,20.57,11.42,30.56,2.65,5.01,346200000.0,6.8,19.5,211520000.0,192410000.0,0.77,0.8148,23.7,115570000.0,1.93,1370000000.0,105.2,3.0,21.97,139710000.0,35990000.0,nan,59960000.0,1.2,2.62,1.12,2.46,2.5,145.45,39550000.0,3960000000.0
AAWW,Industrials,Airports & Air Services,27.32,702000000.0,6.24,6.55,0.6,0.25,0.32,1.3,7.06,11.9,7.58,2.28,16.22,2760000000.0,107.04,-1.2,874410000.0,506060000.0,4.31,0.3627,-15.7,72460000.0,2.8,2940000000.0,134.15,0.39,84.79,354750000.0,106720000.0,nan,25870000.0,nan,nan,nan,nan,nan,0.0,328140000.0,3570000000.0
AAXN,Industrials,Aerospace & Defense,70.09,4200000000.0,276.32,54.83,2.27,8.92,8.2,8.09,160.49,3.24,2.8,1.13,3.17,473800000.0,8.03,24.8,258579999.99999997,23870000.0,0.25,1.0769,6.9,311460000.0,5.25,11650000.0,2.29,3.13,8.56,51100000.0,12150000.0,nan,59340000.0,nan,nan,nan,nan,nan,0.0,15340000.0,3830000000.0
AB,Financial Services,Asset Management,31.9,3000000000.0,14.01,11.08,2.08,12.43,2.11,12.22,nan,89.1,100.0,10.41,14.84,245140000.0,2.56,-8.4,270650000.0,nan,2.28,1.0,-9.2,nan,nan,nan,nan,nan,15.15,228640000.0,nan,nan,95890000.0,2.52,8.34,2.32,7.3,8.18,104.39,218420000.0,2990000000.0
ABB,Industrials,Specialty Industrial Machinery,24.25,51000000000.0,36.13,23.97,1.81,1.81,3.9,2.11,22.47,5.06,6.23,2.47,7.0,28310000000.0,13.28,-2.9,8600000000.0,2660000000.0,0.67,1.375,-14.6,3150000000.0,1.48,10730000000.0,78.23,1.36,6.2,2280000000.0,-1710000000.0,nan,2130000000.0,0.79,3.25,0.81,3.34,3.02,174.74,908000000.0,59820000000.0
ABBV,Healthcare,Drug Manufacturers—General,90.01,133000000000.0,41.34,9.48,2.73,4.06,nan,4.86,10.33,9.9,41.11,13.45,nan,32869999999.999996,22.15,3.0,25040000000.0,15460000000.0,2.18,nan,-31.4,10650000000.0,7.2,38840000000.0,nan,1.15,-5.56,13440000000.0,10290000000.0,nan,1480000000.0,4.72,5.32,4.28,4.78,3.72,183.7,3230000000.0,159650000000.0
ABC,Healthcare,Medical Distribution,85.62,18000000000.0,21.22,10.57,1.55,0.1,6.16,0.1,7.99,0.48,1.04,3.04,28.27,179590000000.0,854.52,5.4,4990000000.0,2360000000.0,4.04,1.019,-43.2,3370000000.0,16.39,4490000000.0,150.12,0.95,13.92,2340000000.0,1660000000.0,nan,205920000.0,1.6,1.9,1.6,1.87,1.6,39.6,855360000.0,18830000000.0
ABCB,Financial Services,Banks—Regional,42.85,3000000000.0,15.76,10.19,1.4,5.06,1.23,6.95,nan,24.22,44.46,0.99,7.51,593420000.0,11.2,68.8,439600000.0,nan,2.71,1.0316,-48.4,377690000.0,5.44,1540000000.0,nan,nan,34.87,-602570000.0,nan,nan,69660000.0,0.6,1.41,0.45,1.06,0.81,16.19,143730000.0,4120000000.0
ABDC,Financial Services,Asset Management,9.19,118000000.0,17.09,16.42,nan,4.7,0.84,7.82,nan,27.84,70.1,4.44,4.81,25150000.0,1.93,-14.5,28970000.0,nan,0.54,0.65,-43.1,4830000.0,0.38,83110000.0,58.79,1.16,10.98,38630000.0,7090000.0,nan,12880000.0,0.72,7.89,0.72,7.83,11.39,135.85,7000000.0,196600000.0
ABEO,Healthcare,Biotechnology,2.57,213000000.0,nan,-1.96,nan,442.2,1.46,190.29,-1.28,0.0,-16325.52,-32.42,-62.79,482000.0,0.01,nan,-35700000.0,-71550000.0,-1.59,0.7955,nan,47920000.0,0.94,8180000.0,8.51,2.45,1.88,-65540000.00000001,-43240000.0,nan,83540000.0,nan,nan,nan,nan,nan,0.0,-77330000.0,91720000.0
ABEV,Consumer Defensive,Beverages—Brewers,4.57,73000000000.0,25.65,22.57,4.08,nan,4.57,nan,nan,20.98,0.0,10.63,18.05,nan,nan,8.1,30960000000.0,nan,0.176,1.0,-11.6,nan,nan,nan,6.1,1.33,0.99,nan,nan,nan,15730000000.0,0.12,2.59,0.14,3.06,2.22,45.27,nan,72990000000.0
ABG,Consumer Cyclical,Auto & Truck Dealerships,103.74,2000000000.0,10.89,9.38,0.6,0.29,3.28,0.55,10.76,2.55,4.65,7.74,33.53,7100000000.0,369.82,4.8,1100000000.0,365400000.0,9.35,1.0043,1.6,1800000.0,0.09,1940000000.0,323.82,1.17,31.08,251400000.0,92260000.0,nan,19300000.0,nan,nan,nan,nan,nan,0.0,181200000.0,3930000000.0
ABIO,Healthcare,Biotechnology,6.15,9800000.0,nan,-0.63,nan,nan,1.11,nan,-0.01,0.0,0.0,-41.2,-70.66,nan,nan,nan,nan,-6040000.0,-5.15,0.5846,nan,9640000.0,6.05,15000.0,0.17,8.61,5.52,-4990000.0,-3310000.0,nan,1590000.0,nan,nan,nan,nan,nan,0.0,-5750000.0,46000.0
ABM,Industrials,Specialty Business Services,38.55,2600000000.0,20.35,17.34,1.2,0.4,1.68,0.51,10.08,1.96,3.42,3.79,8.51,6500000000.0,97.58,-0.0,731100000.0,329600000.0,1.91,nan,393.8,58500000.0,0.88,823500000.0,53.4,1.41,23.16,262700000.0,173840000.0,nan,66590000.0,0.74,1.93,0.72,1.88,1.92,37.7,127500000.0,3320000000.0
ABMD,Healthcare,Medical Devices,180.19,8300000000.000001,38.2,37.27,1.62,10.15,8.35,9.4,29.07,26.92,30.28,15.44,24.75,820280000.0,18.16,12.8,639870000.0,265220000.00000003,4.79,0.3011,-73.9,445320000.0,9.86,12700000.0,1.28,5.77,21.92,283890000.0,159590000.0,nan,45160000.0,nan,nan,nan,nan,nan,0.0,220820000.0,7710000000.0
ABR,Real Estate,REIT—Mortgage,14.44,1600000000.0,10.47,10.71,1.37,3.7,1.46,13.05,nan,30.52,45.39,3.21,14.74,427000000.0,4.91,15.3,353810000.0,nan,1.38,1.0606,21.0,140380000.0,1.44,4050000000.0,337.58,6.48,9.9,214950000.0,nan,nan,109710000.0,1.2,8.46,1.14,7.91,8.24,79.29,122750000.0,5570000000.0
ABT,Healthcare,Medical Devices,86.3,154000000000.0,46.92,23.98,2.3,4.9,4.8,5.35,21.65,10.5,15.08,4.22,10.47,31360000000.0,17.75,5.5,17920000000.0,7750000000.0,1.84,1.0,70.5,4340000000.0,2.45,20000000000.0,62.47,1.54,17.99,5490000000.0,3580000000.0,nan,1770000000.0,1.44,1.68,1.28,1.48,1.98,67.39,3270000000.0,167710000000.0
