Ticker,Sector,Industry,Price,Market Cap (intraday),Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Diluted EPS,EPS Beat Ratio,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta (3Y Monthly),Shares Outstanding,Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Net Income Avi to Common,Enterprise Value
ADMA,Healthcare,Biotechnology,2.93,245220000.0,nan,-14.2,nan,6.807857,2.5448027,5.704,-4.921,-151.18,-124.89,-19.48,-102.39,36020000.0,0.59,189.1,-10160000.0,-41740000.0,-0.89,1.0588,nan,101240000.0,1.17,98150000.0,101.89,11.9,1.12,-86550000.0,-69820000.0,nan,86350000.0,nan,nan,nan,nan,nan,0.0,-54460000.0,205442784
ADMP,Healthcare,Drug Manufacturers—Specialty & Generic,0.4758,38990000.0,nan,-8.8133335,nan,1.7826846,1.1751112,1.398,-1.248,-140.33,-125.86,-35.13,-84.1,21870000.0,0.38,-4.9,6310000.0,-24510000.0,-0.529,2.0,nan,10510000.0,0.14,3950000.0,11.88,1.45,0.45,-15850000.0,-7570000.0,nan,73730000.0,nan,nan,nan,nan,nan,0.0,-30690000.0,30580068
ADMS,Healthcare,Drug Manufacturers—Specialty & Generic,2.8,80814000.0,nan,-1.9006622,-0.04,1.4066112,nan,1.85,-1.404,-160.44,-133.66,-26.12,-383.56,57450000.0,2.07,24.1,52170000.0,-75710000.0,-3.313,0.9765,nan,115280000.0,4.09,137120000.0,nan,5.61,-0.56,-77170000.0,-50970000.0,nan,28160000.0,nan,nan,nan,nan,nan,0.0,-92180000.0,106312616
ADNT,Consumer Cyclical,Auto Parts,17.04,1581000000.0,nan,9.678161,-0.38,0.1014257,1.025891,0.34,8.968,-3.28,1.69,1.55,-18.89,15590000000.0,166.26,-17.0,801000000.0,591000000.0,-5.45,2.8235,nan,1640000000.0,17.47,4900000000.0,255.32,1.01,16.42,451000000.0,58250000.0,nan,93790000.0,nan,nan,0.28,1.64,nan,0.0,-511000000.0,5300351488
ADP,Industrials,Staffing & Employment Services,133.0,57964000000.0,23.1457,23.455652,2,3.9277928,10.557339,4.303,17.214,17.15,21.85,4.4,47.13,14760000000.0,34.17,5.7,6390000000.0,3690000000.0,5.83,1.0159,8.9,1710000000.0,3.97,2460000000.0,44.88,1.03,12.77,2980000000.0,2440000000.0,nan,429770000.0,3.64,2.73,3.4,2.55,2.1,58.32,2530000000.0,63502860288
ADPT,Healthcare,Biotechnology,40.0,5295000000.0,nan,-40.514565,-8.37,56.74368,9.57989,43.465,-47.728,-87.47,-99.63,-7.8,-19.44,93310000.0,0.96,65.1,-7910000.0,-84980000.0,-0.85,0.85,nan,555170000.0,4.38,38050000.0,6.9,7.5,4.36,-104500000.0,-43260000.0,nan,126890000.0,nan,nan,nan,nan,nan,0.0,-82330000.0,4055903232
ADRO,Healthcare,Biotechnology,3.31,262721000.0,nan,-4.850746,-0.42,9.634051,4.4037943,2.455,-0.998,-243.93,-263.56,-14.01,-76.04,27270000.0,0.34,254.2,-48610000.0,-67110000.0,-0.828,1.1429,nan,202920000.0,2.51,33020000.000000004,55.42,9.13,0.74,-62160000.0,-40980000.0,nan,80840000.0,nan,nan,nan,nan,nan,0.0,-66519999.99999999,66955684
ADS,Financial Services,Credit Services,43.36,2003000000.0,13.701531,3.1592786,1.16,0.35579908,1.8413101,3.361,19.381,2.82,15.05,1.97,25.51,5630000000.0,115.7,3.6,1260000000.0,976100000.0,3.07,0.2698,-79.9,4460000000.0,93.57,21130000000.0,1942.39,2.02,22.84,1180000000.0,6550000000.0,nan,47630000.0,0.84,1.95,2.52,5.85,nan,29.58,414800000.0,18917687296
ADSK,Technology,Software—Application,194.03,42912000000.0,203.9375,33.813473,0.51,13.105654,nan,12.57,87.998,6.55,11.45,4.3,nan,3270000000.0,14.9,22.0,2980000000.0,467700000.0,0.96,1.0337,103.7,1840000000.0,8.4,2540000000.0,nan,0.83,-0.63,1420000000.0,908060000.0,nan,219520000.0,nan,nan,nan,nan,nan,0.0,214500000.0,41156501504
ADSW,Industrials,Waste Management,32.1,2880000000.0,nan,84.052635,8.61,1.7718126,3.1145782,2.938,12.329,-0.42,5.65,1.62,-0.75,1630000000.0,18.19,0.7,564400000.0,387400000.0,-0.08,0.5714,nan,31000000.0,0.34,1870000000.0,202.47,0.67,10.26,272400000.0,79040000.0,nan,90180000.0,nan,nan,nan,nan,nan,0.0,-6900000.0,4776148480
