Ticker,Sector,Industry,Price,Market Cap (intraday),Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Diluted EPS,EPS Beat Ratio,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta (3Y Monthly),Shares Outstanding,Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Net Income Avi to Common,Enterprise Value
ADMP,Healthcare,Drug Manufacturers—Specialty & Generic,0.6,47742000.0,nan,-6.475,nan,2.1828444,1.4388889,1.647,-1.469,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36014140
ARMP,Healthcare,Biotechnology,4.14,75511000.0,nan,-3.2926831,nan,nan,2.2550113,nan,-2.82,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.6897,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,52930772
BRMK,Real Estate,REIT—Mortgage,9.07,1172000000.0,nan,nan,nan,7.851025,nan,6.196,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,924849408
CCL,Consumer Cyclical,Travel Services,16.48,12183000000.0,5.7218957,-11.0461,0.12,0.5817885,0.4392273,1.153,4.516,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.4602,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24148600832
CG,Financial Services,Asset Management,28.8,9802000000.0,nan,14.19697,1.44,6.347076,5.2493,10.018,43.309,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15470030848
CLSK,Technology,Software—Infrastructure,3.57,34132000.0,nan,-2.4195805,nan,4.17203,1.5777473,4.366,-4.416,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.066,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,35717212
CNQ,Energy,Oil & Gas E&P,16.99,20279000000.0,7.4046793,9.188172,5.91,nan,0.82536465,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.2857,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19932813312
CPLP,Industrials,Marine Shipping,8.39,148879000.0,6.489699,6.2519083,0.34,1.2918557,0.36586997,4.352,5.837,20.03,34.58,3.21,5.86,115240000.0,6.34,25.6,74890000.0,85920000.0,1.26,0.814,nan,16340000.0,0.9,365950000.0,89.85,0.28,22.39,64120000.00000001,-101050000.0,nan,18180000.0,1.4,17.54,1.33,15.93,14.42,101.17,23290000.0,501532096
CPRI,Consumer Cyclical,Apparel Manufacturing,15.55,2388000000.0,nan,5.179153,2.32,0.43017933,1.0964005,1.096,6.582,-4.02,12.16,5.78,-9.77,5550000000.0,36.83,-11.3,3380000000.0,924000000.0,-1.48,0.7857,nan,592000000.0,3.94,4370000000.0,201.43,1.35,14.5,859000000.0,661630000.0,nan,149430000.0,nan,nan,nan,nan,nan,0.0,-223000000.0,6081330688
CPS,nan,nan,11.32,185730000.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.6667,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CPSS,Financial Services,Credit Services,3.16,73282000.0,5.391806,4.357162,0.12,0.4532322,0.5986446,14.698,nan,8.94,5.94,0.58,9.05,161690000.0,7.19,37.0,148100000.0,nan,0.598,2.3684,520.6,4550000.0,0.2,2310000000.0,1900.78,53.85,5.39,222330000.0,nan,nan,22730000.0,nan,nan,nan,nan,nan,0.0,14460000.0,2376477440
CPT,Real Estate,REIT—Residential,89.82,8808000000.0,40.25367,55.490795,16.75,8.254515,2.5042222,10.66,18.537,21.02,24.92,2.56,6.19,1070000000.0000001,10.77,7.2,651430000.0,613620000.0,2.25,0.9348,12.1,22280000.0,0.23,2620000000.0,71.4,0.2,36.12,573530000.0,501050000.0,nan,97380000.0,3.32,3.75,3.23,3.61,3.38,143.56,223740000.0,11374715904
CQP,Energy,Oil & Gas Midstream,34.16,16344999999.999998,14.437794,14.876653,-3.1,2.4012322,17.820581,4.78,12.043,18.0,31.6,7.22,144.03,6810000000.0,14.06,-1.8,2690000000.0,2700000000.0,2.34,1.2353,13.0,1730000000.0,3.58,17680000000.0,2155.85,0.9,1.89,1740000000.0,1150000000.0,nan,348630000.0,2.56,7.42,2.5,7.25,5.94,105.13,1130000000.0,32540682240
CRBP,Healthcare,Biotechnology,7.7,544403000.0,nan,-4.908497,nan,15.113931,23.993612,14.413,-6.525,-207.87,-223.4,-60.37,-230.41,36020000.0,0.55,-6.6,-53460000.0,-79560000.0,-1.14,1.075,nan,46620000.0,0.64,9040000.0,39.82,1.58,0.31,-83640000.0,-63150000.0,nan,72490000.0,nan,nan,nan,nan,nan,0.0,-74880000.0,519144160
CRF,Financial Services,Asset Management,10.45,418392000.0,3.9878466,nan,nan,47.6325,1.0042081,47.085,nan,1191.52,45.14,0.61,26.01,8780000.0,0.22,-15.4,8780000.0,nan,2.63,nan,nan,132260.0,0.0,nan,nan,0.68,10.46,nan,nan,nan,39850000.0,2.16,20.8,2.38,22.88,21.64,87.85,104660000.0,413585888
CRHM,Healthcare,Medical Instruments & Supplies,2.22,161376000.0,92.916664,37.166668,nan,1.382579,2.1339715,2.218,5.748,1.52,7.96,2.83,3.69,116720000.0,1.63,-12.6,21580000.0,45040000.0,0.024,1.5,nan,13330000.0,0.19,70620000.0,58.65,4.09,1.04,40410000.0,37530000.0,nan,71560000.0,nan,nan,nan,nan,nan,0.0,1770000.0,258914592
CRI,Consumer Cyclical,Apparel Retail,83.41,3651000000.0,24.931507,13.930116,-8.99,1.063512,5.099282,1.423,12.071,4.39,9.0,6.62,19.25,3430000000.0,78.06,-11.7,1510000000.0,404780000.0,3.36,-3.375,nan,759100000.0,17.41,2049999999.9999998,285.96,3.72,16.42,335890000.0,257480000.00000003,nan,43610000.0,nan,nan,2.1,2.55,1.6,64.02,148250000.0,4885919744
CRK,Energy,Oil & Gas E&P,4.66,1059000000.0,8.510242,6.5285716,0.64,1.2628343,0.739243,4.483,6.114,14.94,31.67,4.84,11.71,838880000.0,5.13,82.2,581320000.0,615090000.0,0.537,1.7143,209.6,15530000.0,0.08,2510000000.0,161.33,0.82,6.18,526640000.0,-127870000.0,nan,231810000.0,nan,nan,0.12,2.69,nan,0.0,90520000.0,3760914944
CRM,Technology,Software—Application,200.0,177362000000.0,nan,54.98604,3.67,9.731256,5.119902,9.635,85.617,-0.92,0.84,0.22,-0.65,18230000000.0,21.19,30.2,12860000000.0,2049999999.9999998,-0.19,1.0145,-74.7,9800000000.0,10.88,6210000000.0,17.97,1.15,38.45,4219999999.9999995,5580000000.0,nan,901000000.0,nan,nan,nan,nan,nan,0.0,-167000000.0,175600877568
CRMT,Consumer Cyclical,Auto & Truck Dealerships,88.85,592576000.0,12.08931,10.049493,1.39,0.79828554,1.9538972,1.074,10.474,6.92,9.74,7.79,18.2,742310000.0,111.96,10.4,353840000.0,76130000.0,7.39,1.125,-36.4,59560000.0,8.98,278380000.0,91.83,12.93,45.72,20920000.0,839120.0,nan,6620000.0,nan,nan,nan,nan,nan,0.0,51300000.0,797368192
CRNC,Technology,Software—Application,39.48,1362000000.0,nan,nan,2.59,4.1986346,nan,4.899,22.009,30.29,14.08,1.88,10.24,324480000.0,8.94,23.0,212470000.0,72220000.0,nan,3.5833,2652.2,95580000.0,2.62,268420000.00000003,28.67,1.18,nan,45090000.0,87910000.0,nan,36500000.0,nan,nan,nan,nan,nan,0.0,98290000.0,1589589504
CRNX,Healthcare,Biotechnology,15.54,511078000.0,nan,-5.762963,nan,569.7631,3.5283449,440.142,-6.51,0.0,-6863.99,-26.48,-45.06,897000.0,0.04,-80.7,-40310000.0,-60650000.0,-2.42,1.127,nan,112800000.0,3.43,5400000.0,4.98,10.89,4.41,-51850000.0,-30900000.0,nan,32850000.0,nan,nan,nan,nan,nan,0.0,-58770000.0,394807808
CRS,Industrials,Metal Fabrication,23.0,1109000000.0,6.708586,22.975248,0.41,0.4650826,0.68538266,0.743,4.935,7.08,10.17,4.55,10.63,2390000000.0,49.77,-4.0,444800000.0,359300000.0,3.46,1.0649,-21.9,93500000.0,1.96,786700000.0,48.61,2.67,33.86,270100000.0,35410000.0,nan,47800000.0,0.8,3.73,0.8,3.54,1.92,23.12,167200000.0,1773116032
CRSP,Healthcare,Biotechnology,90.66,5820000000.0,122.06267,-17.877628,nan,20.107674,6.425234,15.966,167.541,15.73,7.46,1.79,7.19,289420000.0,5.11,-52.1,110230000.0,27580000.0,0.77,1.0952,nan,889710000.0,14.58,51400000.0,5.8,16.87,14.55,48240000.0,54710000.0,nan,62240000.0,nan,nan,nan,nan,nan,0.0,45530000.0,4620937216
CRWS,Consumer Cyclical,Textile Manufacturing,4.61,47674000.0,7.2445817,8.068966,1.59,0.649548,1.1212267,0.74,5.905,8.94,10.54,8.64,15.65,73400000.0,7.23,-6.5,21590000.0,9200000.0,0.646,1.2308,15.5,282000.0,0.03,7730000.0,18.21,5.72,4.17,8530000.0,7940000.0,nan,10170000.0,nan,nan,0.32,6.91,4.9,49.23,6560000.0,54314980
CSII,Healthcare,Medical Devices,29.5,1155000000.0,nan,-104.42857,-0.35,4.404671,7.203745,3.607,-126.074,-4.04,-4.11,-3.13,-7.45,262230000.00000003,7.73,-3.4,200340000.0,-7500000.0,-0.31,1.0,nan,107260000.0,3.04,21420000.0,14.96,3.29,4.06,3880000.0,14120000.0,nan,39500000.0,nan,nan,nan,nan,nan,0.0,-10600000.0,945934272
CSIQ,Technology,Solar,23.68,1418000000.0,4.876117,7.795455,0.41,0.40028,0.98188365,0.737,4.71,8.45,10.93,4.66,21.31,3540000000.0,59.35,70.3,718500000.0,554480000.0,4.92,2.1395,nan,618640000.0,10.42,1800000000.0,120.53,1.17,24.45,nan,nan,nan,59040000.0,nan,nan,nan,nan,nan,0.0,299380000.0,2611560192
CSSE,Communication Services,Broadcasting,8.7,102909000.0,nan,-3.7755508,nan,1.5494947,2.3879912,2.28,-9.971,-59.25,-50.41,-17.81,-56.14,66410000.0,5.54,503.9,14940000.0,-15190000.0,-3.59,1.6379,nan,7120000.0,0.59,19220000.0,24.09,0.85,3.59,-12990000.0,26970000.0,nan,4190000.0000000005,nan,nan,nan,nan,nan,0.0,-43030000.0,151447760
CSTL,Healthcare,Diagnostics & Research,41.71,822611000.0,nan,-42.919193,nan,13.582054,8.811697,10.66,71.301,11.9,14.34,7.18,16.94,60570000.0,4.87,99.8,44550000.0,9050000.0,-0.21,-0.2,nan,98650000.0,5.73,25350000.0,28.82,7.64,4.82,5480000.0,780070.0,nan,19360000.0,nan,nan,nan,nan,nan,0.0,5900000.0,645629312
CSTR,Financial Services,Banks—Regional,11.1,240913000.0,10.74364,10.660194,nan,2.8212626,0.72889006,1.558,nan,22.24,32.64,0.92,7.09,85390000.0,4.73,-28.1,91260000.0,nan,1.02,0.32,-71.8,93290000.0,5.1,24010000.0,nan,nan,15.06,-84550000.0,nan,nan,21940000.0,0.2,1.9,0.2,1.81,nan,19.61,18990000.0,133015288
CSV,Consumer Cyclical,Personal Services,17.88,324167000.0,85.38207,8.916749,0.82,1.1474296,1.4571728,3.017,11.555,1.35,19.5,3.33,1.69,282520000.0,15.86,12.2,92910000.0,73770000.0,0.21,1.0606,nan,11920000.0,0.67,549690000.0,247.1,1.38,12.42,45770000.0,11500000.0,nan,17910000.0,0.3,1.75,0.3,1.71,0.99,142.86,3770000.0,852425984
CSWI,Industrials,Specialty Industrial Machinery,67.85,1012000000.0,22.76159,23.460749,2.25,2.6219182,3.6622267,2.582,13.185,11.89,15.74,10.51,16.59,385870000.0,25.66,7.7,177050000.0,75560000.0,3.02,1.1216,5.9,18340000.0,1.25,30900000.0,11.16,2.54,18.77,69900000.0,49010000.0,nan,14720000.0,0.54,0.81,0.54,0.81,nan,18.31,44820000.0,996289216
CTBI,Financial Services,Banks—Regional,30.69,542379000.0,9.621212,12.047431,2.45,3.1204946,0.8845551,4.509,nan,32.32,38.3,1.3,9.44,173810000.0,9.8,-27.6,186830000.0,nan,3.17,0.6271,-56.0,69550000.0,3.91,314920000.0,nan,nan,34.46,85090000.0,nan,nan,17790000.0,1.52,5.27,1.5,4.96,3.25,47.32,56180000.0,783659584
CTL,Communication Services,Telecom Services,9.98,10739000000.0,8.690053,7.4128785,1.29,0.48369685,0.8081434,2.056,5.215,5.45,17.81,3.84,9.02,22200000000.0,20.69,-3.7,12320000000.0,8760000000.0,1.13,1.0882,nan,1560000000.0,1.42,36340000000.0,273.43,0.82,12.11,6800000000.0,2810000000.0,nan,1100000000.0,1.0,10.09,1.0,10.09,10.2,87.72,1210000000.0,45654245376
CTO,Real Estate,Real Estate—Development,35.31,167085000.0,1.7825717,20.02825,nan,3.5686414,0.6141825,9.891,18.251,205.56,22.74,1.08,-0.41,46820000.0,9.69,17.1,37840000.0,25370000.0,19.89,37.1429,nan,18590000.0,3.94,315440000.0,115.88,6.6,57.72,15780000.0,89810000.0,nan,4710000.0,1.0,2.86,0.59,1.67,0.44,nan,-1000000.0,463083424
CTSH,Technology,Information Technology Services,56.44,31024000000.0,17.968065,14.791237,5.74,1.8359501,2.9255238,1.732,8.634,10.46,17.08,10.76,16.26,16899999999.999998,30.6,2.8,6150000000.0,3390000000.0,3.19,1.0435,-16.8,4280000000.0000005,7.92,3400000000.0,32.03,2.9,19.62,2730000000.0,2430000000.0,nan,540580000.0,0.88,1.58,0.82,1.47,nan,25.71,1770000000.0,29270554624
CTXS,Technology,Software—Application,153.06,18903000000.0,26.877302,24.93811,4.25,5.9963903,nan,6.418,26.133,23.88,20.62,8.55,448.1,3150000000.0,24.41,19.7,2600000000.0,774120000.0,5.7,1.4786,64.2,550520000.0,4.46,1980000000.0,nan,0.78,-1.78,799750000.0,759310000.0,nan,123450000.0,1.4,0.92,1.4,0.92,nan,24.69,752690000.0,20230428672
CUB,Industrials,Aerospace & Defense,46.78,1461000000.0,244.45026,12.618918,4.06,0.9714991,1.6313196,1.553,19.468,0.4,3.22,1.51,-0.77,1500000000.0,48.17,-4.7,431420000.0,120010000.0,0.19,1.0909,nan,118200000.0,3.78,999390000.0,110.36,1.2,28.62,-22180000.0,24130000.0,nan,31300000.0,0.27,0.59,0.26,0.57,0.52,100.0,6510000.0,2336278528
CUBE,Real Estate,REIT—Industrial,27.47,5325000000.0,30.939257,35.26282,5.93,7.994868,2.9874008,10.967,17.722,25.75,36.97,3.94,9.59,666010000.0,3.46,7.2,456800000.0,412180000.0,0.89,1.0526,6.8,35720000.0,0.19,1980000000.0,107.25,0.37,9.21,337260000.0,256029999.99999997,nan,193590000.0,1.32,4.81,1.3,4.75,3.58,146.07,171520000.0,7304424448
CUBI,Financial Services,Banks—Regional,11.21,349867000.0,6.7211127,4.51626,0.33,1.0329494,0.46794707,8.335,nan,19.78,30.58,0.6,6.89,338710000.0,10.83,-3.8,341500000.0,nan,1.65,-0.0465,-79.9,322680000.0,10.25,2580000000.0,nan,nan,23.74,49150000.0,nan,nan,31490000.0,nan,nan,nan,nan,nan,0.0,52530000.0,2823290368
