Ticker,Sector,Industry,Price,Market Cap (intraday),Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Diluted EPS,EPS Beat Ratio,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta (3Y Monthly),Shares Outstanding,Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Net Income Avi to Common,Enterprise Value
ADP,Industrials,Staffing & Employment Services,147.5,62846000000.0,25.095245,25.609457,2.04,4.258628,11.446575,4.215,16.863,17.15,21.85,4.4,47.13,14760000000.0,34.17,5.7,6390000000.0,3690000000.0,5.83,1.0159,8.9,1710000000.0,3.97,2460000000.0,44.88,1.03,12.77,2980000000.0,2440000000.0,nan,429770000.0,3.64,2.55,3.4,2.38,2.1,58.32,2530000000.0,62209236992
ADPT,Healthcare,Biotechnology,42.47,5399000000.0,nan,-39.036694,-8.57,57.8587,9.768136,51.433,-56.478,-87.47,-99.63,-7.8,-19.44,93310000.0,0.96,65.1,-7910000.0,-84980000.0,-0.85,1.25,nan,555170000.0,4.38,38050000.0,6.9,7.5,4.36,-104500000.0,-43260000.0,nan,126890000.0,nan,nan,nan,nan,nan,0.0,-82330000.0,4799464448
ADRO,Healthcare,Biotechnology,2.34,177134000.0,nan,-2.4333334,-0.38,6.4955544,2.96748,0.113,-0.046,-243.93,-263.56,-14.01,-76.04,27270000.0,0.34,254.2,-48610000.0,-67110000.0,-0.828,0.6923,nan,202920000.0,2.51,33020000.000000004,55.42,9.13,0.74,-62160000.0,-40980000.0,nan,80880000.0,nan,nan,nan,nan,nan,0.0,-66519999.99999999,3094379
ADSK,Technology,Software—Application,227.95,48968000000.0,163.77933,41.446198,1.76,14.299171,nan,14.204,86.568,8.91,13.73,5.68,nan,3420000000.0,15.59,20.4,2980000000.0,561900000.0,1.36,nan,nan,1470000000.0,6.69,2080000000.0,nan,0.79,-0.63,1520000000.0,965790000.0,nan,219200000.0,nan,nan,nan,nan,nan,0.0,305200000.0,48642699264
ADSW,Industrials,Waste Management,31.23,2832000000.0,nan,84.87838,13.21,1.7421345,3.0624087,2.866,12.028,-0.42,5.65,1.62,-0.75,1630000000.0,18.19,0.7,564400000.0,387400000.0,-0.08,1.0,nan,31000000.0,0.34,1870000000.0,202.47,0.67,10.26,272400000.0,79040000.0,nan,90180000.0,nan,nan,nan,nan,nan,0.0,-6900000.0,4659812864
ADT,Industrials,Security & Protection Services,8.16,6254000000.0,nan,7.381818,1.6,1.1906295,2.1601489,3.117,7.325,-12.53,4.81,0.95,-18.68,5250000000.0,7.02,10.2,3740000000.0,2230000000.0,-0.88,1.4737,nan,118140000.0,0.15,10400000000.0,359.1,0.58,3.76,1610000000.0,720270000.0,nan,770150000.0,0.14,1.67,0.14,1.77,nan,nan,-657970000.0,16368982016
ADTN,Technology,Communication Equipment,10.68,512186000.00000006,nan,56.21053,nan,1.0227501,1.4082279,0.963,-34.816,-12.72,-6.29,-3.48,-15.79,500790000.0,10.46,-20.4,219950000.0,-13850000.0,-1.34,nan,nan,77270000.0,1.61,7520000.0,2.07,3.29,7.58,-12210000.0,-10670000.0,nan,47960000.0,0.36,3.13,0.36,3.51,2.4,nan,-63720000.0,482240192
ADUS,Healthcare,Medical Care Facilities,91.97,1403000000.0,61.65413,28.187498,2.23,2.3463275,2.9578617,2.231,31.706,3.33,5.48,3.9,5.52,598150000.0,45.32,23.3,138000000.0,42100000.0,1.46,1.2222,34.0,239610000.0,15.55,78700000.0,16.75,5.07,30.5,16610000.0,4790000.0,nan,15560000.0,nan,nan,nan,nan,nan,0.0,20360000.0,1334701696
ADVM,Healthcare,Biotechnology,21.65,1719000000.0,nan,-16.726562,nan,6876.515,5.6268067,5786.453,-19.318,0.0,-30651.6,-16.82,-29.63,250000.0,0.0,nan,-40170000.0,-74880000.0,-1.09,1.1481,nan,297070000.0,3.7,31780000.0,10.45,17.92,3.81,-49570000.0,-49650000.0,nan,80300000.0,nan,nan,nan,nan,nan,0.0,-72900000.0,1446613376
ADXS,Healthcare,Biotechnology,0.7,38726000.0,nan,-1.1687272,nan,32.325542,0.9315942,16.069,-0.588,0.0,-2849.67,-41.98,-94.34,1200000.0,0.04,-100.0,20880000.0,-32720000.0,-1.382,0.6667,nan,34160000.0,0.57,6640000.0,15.99,9.26,0.69,-31970000.0,-24690000.0,nan,60250000.0,nan,nan,nan,nan,nan,0.0,-37290000.0,19251048
