Ticker,Sector,Industry,Price,Market Cap (intraday),Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Diluted EPS,EPS Beat Ratio,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta (3Y Monthly),Shares Outstanding,Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Net Income Avi to Common,Enterprise Value
ADSW,Industrials,Waste Management,32.53,2936000000.0,nan,nan,nan,nan,nan,nan,nan,-0.41,5.92,1.7,-0.72,1620000000.0,18.23,1.4,564400000.0,392900000.0,-0.07,0.5714,nan,12500000.0,0.14,1900000000.0,205.61,0.63,10.29,280200000.0,130199999.99999999,nan,89900000.0,nan,nan,nan,nan,nan,0.0,-6600000.0,nan
ADT,Industrials,Security & Protection Services,4.47,3214000000.0,nan,nan,nan,nan,nan,nan,nan,-8.27,6.43,1.24,-11.45,5130000000.0,6.86,9.5,3740000000.0,2320000000.0,-0.57,1.3478,nan,48740000.0,0.06,9910000000.0,311.09,0.56,4.17,1870000000.0,574720000.0,nan,769850000.0,0.14,3.36,0.14,3.2,nan,nan,-424150000.0,nan
ADTN,Technology,Communication Equipment,8.9,418811000.0,nan,nan,nan,nan,nan,nan,nan,-10.0,-5.91,-3.34,-12.82,530059999.99999994,11.08,-17.3,219950000.0,-13570000.0,-1.11,0.5385,nan,107020000.0,2.22,33090000.000000004,8.7,2.84,7.92,-2470000.0,-2860000.0,nan,48080000.0,0.36,4.12,0.36,4.12,2.36,nan,-52980000.0,nan
ADUS,Healthcare,Medical Care Facilities,81.53,1274000000.0,nan,nan,nan,nan,nan,nan,nan,3.33,5.48,3.9,5.52,598150000.0,45.32,23.3,138000000.0,42100000.0,1.46,1.069,34.0,239610000.0,15.55,78700000.0,16.75,5.07,30.5,16610000.0,4790000.0,nan,15560000.0,nan,nan,nan,nan,nan,0.0,20360000.0,nan
ADVM,Healthcare,Biotechnology,10.39,760956000.0,nan,nan,nan,nan,nan,nan,nan,0.0,-27418.0,-19.64,-34.29,250000.0,0.0,-100.0,-40170000.0,-66970000.0,-1.01,1.0,nan,166040000.0,2.08,32450000.000000004,18.55,9.06,2.6,-49170000.0,-52120000.0,nan,79680000.0,nan,nan,nan,nan,nan,0.0,-64489999.99999999,nan
ADXS,Healthcare,Biotechnology,0.66,37955000.0,nan,nan,nan,nan,nan,nan,nan,0.0,-2849.67,-41.98,-94.34,1200000.0,0.04,-100.0,20880000.0,-32720000.0,-1.382,0.7895,nan,34160000.0,0.57,6640000.0,15.99,9.26,0.69,-31970000.0,-24690000.0,nan,60250000.0,nan,nan,nan,nan,nan,0.0,-37290000.0,nan
AEE,Utilities,Utilities—Regulated Electric,76.22,18886000000.0,nan,nan,nan,nan,nan,nan,nan,14.67,24.03,3.02,10.44,5650000000.0,22.99,-7.2,2740000000.0,2360000000.0,3.35,1.1471,38.2,16000000.0,0.06,9830000000.0,119.9,0.57,32.73,2170000000.0,-504000000.0,nan,246740000.0,1.98,2.67,1.92,2.58,3.1,57.31,828000000.0,nan
AEG,Financial Services,Insurance—Diversified,2.72,5476000000.0,nan,nan,nan,nan,nan,nan,nan,1.93,0.0,0.21,5.27,nan,nan,3200.1,4960000000.0,nan,1.092,nan,318.8,nan,nan,nan,60.9,2.16,13.54,nan,nan,nan,2009999999.9999998,0.35,15.35,0.33,13.15,5.86,53.71,nan,nan
AEGN,Industrials,Engineering & Construction,16.63,520599000.00000006,nan,nan,nan,nan,nan,nan,nan,-1.72,4.93,3.77,-4.3,1210000000.0,38.99,-7.3,248570000.0,96050000.0,0.02,0.975,nan,64870000.00000001,2.11,353410000.0,81.23,1.92,14.2,78810000.0,51750000.0,nan,31340000.0,nan,nan,nan,nan,nan,0.0,-20890000.0,nan
AEHR,Technology,Semiconductor Equipment & Materials,1.38,30936000.0,nan,nan,nan,nan,nan,nan,nan,0.75,1.23,0.84,1.22,25760000.0,1.13,93.2,7600000.0,709000.0,0.008,0.5,nan,5060000.0,0.22,2420000.0,14.59,5.56,0.72,nan,nan,nan,22920000.0,nan,nan,nan,nan,nan,0.0,193000.0,nan
AEIS,Industrials,Electrical Equipment & Parts,51.04,1954000000.0,nan,nan,nan,nan,nan,nan,nan,8.23,9.08,3.81,8.8,788950000.0,20.61,119.4,327830000.0,97750000.0,1.69,1.2609,-47.1,349060000.0,9.09,447880000.0,66.13,2.71,17.64,48390000.0,-75890000.0,nan,38420000.0,nan,nan,nan,nan,nan,0.0,56460000.0,nan
AEL,Financial Services,Insurance - Life,27.51,2473000000.0,nan,nan,nan,nan,nan,nan,nan,7.1,10.38,0.34,7.06,3470000000.0,38.04,nan,1970000000.0,363980000.0,2.68,1.0543,309.0,2290000000.0,25.12,658380000.0,14.41,0.35,50.16,3350000000.0,2300000000.0,nan,91290000.0,0.3,1.67,0.3,1.67,1.0,11.19,246090000.0,nan
AEM,Basic Materials,Gold,45.99,11158000000.0,nan,nan,nan,nan,nan,nan,nan,18.96,33.79,6.33,9.8,2490000000.0,10.53,40.0,1250000000.0,1040000000.0,1.99,1.0278,nan,423270000.0,1.76,1840000000.0,36.01,1.54,21.33,881690000.0,-201160000.0,nan,240850000.0,0.8,1.75,0.55,1.21,0.97,27.64,473170000.0,nan
