Ticker,Sector,Industry,Price,Market Cap (intraday),Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Diluted EPS,EPS Beat Ratio,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta (3Y Monthly),Shares Outstanding,Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Net Income Avi to Common,Enterprise Value
A,Healthcare,Diagnostics & Research,80.7,24758000000.0,33.04,21.02,2.57,4.73,5.11,5.0,20.61,14.59,19.25,6.83,15.46,5240000000.0,16.78,5.7,2810000000.0,1270000000.0,2.42,1.0,-60.9,1230000000.0,3.95,2460000000.0,50.78,1.64,15.64,749000000.0,670500000.0,nan,310000000.0,0.72,0.89,0.67,0.83,0.93,27.65,764000000.0,26190000000.0
AA,Basic Materials,Aluminum,15.48,2802000000.0,nan,34.25,6.1,0.27,0.68,0.55,3.95,-10.78,7.17,3.04,-12.66,10430000000.0,56.4,-27.2,1920000000.0,1460000000.0,-6.08,1.4091,nan,879000000.0,4.73,1960000000.0,33.32,1.38,22.16,686000000.0,902880000.0,nan,185580000.0,nan,nan,0.36,2.34,nan,0.0,-1120000000.0,5770000000.0
AACG,Consumer Defensive,Education & Training Services,1.05,32220999.999999996,nan,nan,nan,nan,nan,nan,nan,-163.21,0.0,-9.47,-25.32,nan,nan,4108.0,-2910000.0,nan,nan,nan,nan,nan,nan,nan,6.99,0.52,nan,nan,nan,nan,28380000.0,nan,nan,nan,nan,nan,0.0,nan,26150000.0
AAL,Industrials,Airlines,25.62,10347000000.0,6.41,4.15,0.48,0.23,nan,0.88,6.52,3.68,8.5,4.03,nan,45770000000.0,103.23,3.4,12560000000.0,6210000000.0,3.79,1.0088,27.8,3830000000.0,8.98,33439999999.999996,nan,0.45,-0.28,3820000000.0,-17750000.0,nan,428200000.0,0.4,1.57,0.4,1.57,1.03,10.55,1690000000.0,40460000000.0
AAN,Industrials,Rental & Leasing Services,43.26,2839000000.0,92.47,10.06,0.51,0.72,1.63,0.9,7.51,0.8,9.76,7.86,1.8,3950000000.0,58.64,1.0,1840000000.0,471820000.0,0.46,0.8902,nan,57760000.0,0.87,710420000.0,40.89,0.55,26.04,317180000.0,2390000000.0,nan,66739999.99999999,0.16,0.37,0.14,0.34,0.29,31.52,31470000.0,3540000000.0
AAOI,Technology,Semiconductors,10.72,207252000.0,nan,-19.44,-1.07,1.04,0.68,1.4,-12.16,-19.57,-24.46,-6.34,-12.29,200230000.0,10.06,-18.3,87770000.0,-23100000.0,-1.97,0.625,nan,69990000.0,3.48,137980000.0,45.65,2.96,15.07,-10190000.0,-33009999.999999996,nan,20120000.0,nan,nan,nan,nan,nan,0.0,-39190000.0,280870000.0
AAON,Industrials,Building Products & Equipment,54.06,2777000000.0,55.53,40.39,4.65,6.05,9.94,6.21,33.15,10.94,13.84,11.93,18.98,459100000.0,8.81,0.5,103530000.0,85980000.0,0.96,0.9286,-1.8,28370000.0,0.55,nan,nan,3.16,5.36,81250000.0,30010000.0,nan,52100000.0,0.32,0.58,0.32,0.6,0.77,33.33,50230000.0,2850000000.0
AAP,Consumer Cyclical,Specialty Retail,140.78,9548000000.0,20.16,13.89,1.1,0.98,2.67,1.28,12.51,5.01,7.8,4.66,13.72,9710000000.0,137.0,0.4,4260000000.0,995150000.0,6.84,1.2148,79.5,418660000.0,6.09,3240000000.0,91.36,1.27,51.61,866910000.0,275240000.0,nan,69260000.0,1.0,0.71,0.24,0.17,0.17,3.51,486900000.0,12450000000.0
AAPL,Technology,Consumer Electronics,300.95,1297000000000.0,23.53,18.9,1.8,4.84,14.52,5.15,17.66,21.49,24.71,11.58,55.47,267680000000.0,58.99,8.9,98390000000.0,78120000000.0,12.6,1.0967,11.4,107160000000.0,24.49,116750000000.0,130.4,1.6,20.42,73220000000.0,45590000000.0,nan,4380000000.0,3.08,0.98,3.04,1.02,1.61,23.94,57530000000.0,1380000000000.0
AAT,Real Estate,REIT—Diversified,45.33,2702000000.0,53.23,33.32,14.65,7.45,2.06,10.97,19.3,12.61,31.35,2.85,5.74,362580000.0,6.7,20.1,237300000.0,206100000.0,0.85,0.9167,92.5,99740000.0,1.66,1360000000.0,105.46,2.75,21.87,153820000.0,46840000.0,nan,60070000.0,1.2,2.64,1.14,2.52,2.51,135.71,45720000.0,3980000000.0
AAWW,Industrials,Airports & Air Services,29.01,705758000.0,nan,4.32,0.65,0.26,0.39,1.33,7.21,-10.7,6.82,2.14,-15.19,2740000000.0,106.06,-2.3,842700000.0,503700000.0,-11.35,0.3627,nan,103910000.0,4.02,2920000000.0,162.68,0.57,69.27,300340000.0,-90180000.0,nan,25870000.0,nan,nan,nan,nan,nan,0.0,-293110000.0,3630000000.0
AAXN,Industrials,Aerospace & Defense,82.82,4869000000.0,323.05,64.11,2.72,10.28,9.59,9.69,192.31,3.24,2.8,1.13,3.17,473800000.0,8.03,24.8,258579999.99999997,23870000.0,0.25,1.0769,6.9,311460000.0,5.25,11650000.0,2.29,3.13,8.56,51100000.0,12150000.0,nan,59340000.0,nan,nan,nan,nan,nan,0.0,15340000.0,4590000000.0
AB,Financial Services,Asset Management,33.02,3224000000.0,13.21,10.05,1.52,12.11,2.08,12.57,nan,89.59,100.0,10.93,15.68,266290000.00000003,2.78,31.7,266290000.00000003,nan,2.49,1.2143,33.6,nan,nan,nan,nan,nan,15.81,222760000.0,nan,nan,95890000.0,3.4,9.97,2.53,7.66,8.17,93.17,238560000.0,3350000000.0
ABB,Industrials,Specialty Industrial Machinery,22.82,48162000000.0,33.84,17.17,1.36,1.72,3.58,2.06,16.71,5.14,8.89,3.43,7.64,27980000000.0,13.12,-4.4,8960000000.0,3450000000.0,0.67,0.6923,2.5,4110000000.0000005,1.93,10080000000.0,72.11,1.31,6.34,2320000000.0,-1640000000.0,nan,2130000000.0,0.79,3.28,0.83,3.62,3.01,160.47,1000000000.0,57610000000.0
ABBV,Healthcare,Drug Manufacturers—General,93.32,135318999999.99998,17.32,8.69,2.62,4.07,nan,5.04,10.67,23.69,41.17,11.53,nan,33270000000.000004,22.46,4.8,25830000000.0,15710000000.0,5.28,1.0091,nan,39920000000.0,26.99,67090000000.0,nan,3.18,-5.53,13320000000.0,8650000000.0,nan,1480000000.0,4.72,4.97,4.39,4.71,3.77,81.06,7840000000.0,167620000000.0
ABC,Healthcare,Medical Distribution,95.36,19461000000.0,30.62,11.44,1.48,0.11,6.58,0.12,9.06,0.36,1.03,2.94,20.82,182060000000.0,872.55,5.4,4990000000.0,2330000000.0,3.09,1.0539,-52.3,3230000000.0,15.7,4710000000.0,153.36,0.94,14.36,2009999999.9999998,1300000000.0,nan,205890000.0,1.68,1.77,1.6,1.69,1.61,51.61,649350000.0,21130000000.0
ABCB,Financial Services,Banks—Regional,39.48,2702000000.0,14.13,9.06,1.19,4.01,1.09,5.52,nan,23.96,44.34,1.09,8.22,673920000.0,11.53,64.5,673920000.0,nan,2.75,1.0,40.7,622100000.0,8.97,1550000000.0,nan,nan,35.61,nan,nan,nan,69500000.0,0.6,1.49,0.5,1.27,0.82,18.18,161440000.0,3720000000.0
ABEO,Healthcare,Biotechnology,3.94,321619000.0,nan,-2.75,nan,667.26,2.05,332.51,-2.24,0.0,-16325.52,-32.42,-62.79,482000.0,0.01,nan,-35700000.0,-71550000.0,-1.59,0.7955,nan,47920000.0,0.94,8180000.0,8.51,2.45,1.88,-65540000.00000001,-43240000.0,nan,83540000.0,nan,nan,nan,nan,nan,0.0,-77330000.0,160270000.0
ABEV,Consumer Defensive,Beverages—Brewers,3.6,56961000000.0,20.51,18.05,3.55,nan,3.66,nan,nan,20.98,0.0,10.63,18.05,nan,nan,8.1,30960000000.0,nan,0.176,1.0,-11.6,nan,nan,nan,6.1,1.33,0.99,nan,nan,nan,15730000000.0,0.12,3.29,0.14,3.97,2.22,45.27,nan,57730000000.0
ABG,Consumer Cyclical,Auto & Truck Dealerships,97.99,1875000000.0,10.17,8.37,0.49,0.26,3.13,0.54,10.5,2.56,4.61,nan,34.36,7210000000.0,377.5,6.2,1170000000.0,367700000.0,9.55,1.0812,7.9,1800000.0,0.09,1940000000.0,323.82,nan,31.08,nan,nan,nan,19300000.0,nan,nan,nan,nan,nan,0.0,184400000.0,3860000000.0
ABIO,Healthcare,Biotechnology,4.5,7094000.0,nan,nan,nan,nan,0.93,nan,0.27,0.0,0.0,-47.31,-80.37,nan,nan,nan,nan,-5800000.0,-4.149,0.7778,nan,8359999.999999999,5.25,25000.0,0.33,9.16,4.77,-4800000.0,-3240000.0,nan,1590000.0,nan,nan,nan,nan,nan,0.0,-5480000.0,-1550000.0
ABM,Industrials,Specialty Business Services,37.26,2454000000.0,19.26,16.48,1.22,0.38,1.59,0.51,10.08,1.96,3.42,3.79,8.51,6500000000.0,97.58,-0.0,731100000.0,329600000.0,1.91,1.0645,393.8,58500000.0,0.88,823500000.0,53.4,1.41,23.16,262700000.0,173840000.0,nan,66590000.0,0.74,1.93,0.72,1.93,1.91,37.7,127500000.0,3320000000.0
ABMD,Healthcare,Medical Devices,167.0,7216000000.0,30.43,34.66,1.5,8.58,6.99,8.36,25.57,29.14,30.48,14.88,25.83,841310000.0,18.62,10.5,639870000.0,275020000.0,5.33,1.3853,54.3,427540000.0,9.49,12620000.0,1.21,5.04,23.2,298720000.0,176330000.0,nan,45160000.0,nan,nan,nan,nan,nan,0.0,245170000.0,7030000000.0
ABR,Real Estate,REIT—Mortgage,14.49,1579000000.0,11.16,11.54,1.37,3.93,1.42,15.74,nan,31.99,47.13,2.86,12.82,402090000.0,4.33,-2.7,351540000.0,nan,1.27,0.9444,-4.3,301120000.0,2.71,4720000000.0,348.23,3.45,9.98,-226540000.0,nan,nan,109710000.0,1.2,8.11,1.17,8.1,8.24,89.76,121070000.0,6330000000.0
ABT,Healthcare,Medical Devices,84.93,149585000000.0,41.06,21.09,2.12,4.69,4.8,5.31,21.42,11.56,15.34,4.53,11.89,31900000000.0,18.05,7.1,18710000000.0,7910000000.0,2.06,1.0,60.4,4139999999.9999995,2.35,19100000000.0,61.02,1.44,17.64,6140000000.0,3930000000.0,nan,1770000000.0,1.44,1.65,1.32,1.56,1.97,62.14,3670000000.0,169380000000.0
ABTX,Financial Services,Banks—Regional,36.86,745402000.0,14.7,13.8,nan,3.99,1.05,3.27,nan,28.32,39.64,1.1,7.5,187020000.0,8.84,3.9,187020000.0,nan,2.47,1.0984,6.3,346250000.0,16.87,183300000.0,nan,nan,34.59,nan,nan,nan,20530000.0,0.4,1.06,nan,nan,nan,0.0,52960000.0,610600000.0
ABUS,Healthcare,Biotechnology,3.02,187930000.0,nan,-2.09,nan,30.96,nan,38.31,-3.33,0.0,-1182.29,-24.74,-98.57,6070000.0,0.11,92.9,-51990000.0,-69750000.0,-2.814,0.5676,nan,90080000.0,1.59,3470000.0,4.15,10.7,-0.89,-74730000.0,-43180000.0,nan,62110000.0,nan,nan,nan,nan,nan,0.0,-158230000.0,232560000.0
ACA,Industrials,Infrastructure Operations,43.58,2039000000.0000002,17.21,15.9,1.6,1.23,1.15,1.29,9.36,7.2,8.96,4.87,7.57,1660000000.0,34.64,17.5,272000000.0,230200000.0,2.45,1.2593,921.9,127500000.0,2.63,134199999.99999999,7.6,3.01,36.56,219000000.0,49840000.0,nan,48390000.0,0.2,0.45,0.2,0.46,nan,6.04,118700000.0,2150000000.0
ACAD,Healthcare,Biotechnology,42.48,6261000000.0,nan,-31.03,-0.98,20.85,9.05,20.9,-24.67,-82.48,-85.71,-31.18,-54.28,300320000.0,2.12,62.2,18310000.0,-254510000.0,-1.75,0.725,nan,683850000.0,4.44,10270000.0,1.49,10.96,4.49,-160500000.0,-73020000.0,nan,154020000.0,nan,nan,nan,nan,nan,0.0,-247720000.0,6280000000.0
ACBI,Financial Services,Banks—Regional,19.53,416378000.0,9.07,13.47,1.39,4.68,1.28,0.12,nan,56.09,40.49,0.96,8.66,88880000.0,3.81,8.3,88880000.0,nan,2.12,1.0667,-19.1,466330000.0,21.44,49870000.0,nan,nan,15.01,nan,nan,nan,21750000.0,nan,nan,nan,nan,nan,0.0,28160000.0,10300000.0
ACC,Real Estate,REIT—Residential,48.85,6723000000.0,81.55,63.55,4.19,7.13,2.04,11.27,22.49,9.01,20.91,1.69,2.42,943040000.0,6.87,4.1,503280000.0,472490000.0,0.6,0.6,-48.0,54650000.0,0.4,3870000000.0,112.43,1.07,23.98,nan,nan,nan,137400000.0,1.88,3.88,1.87,3.84,3.88,311.67,84970000.0,10630000000.0
ACCO,Industrials,Business Equipment & Supplies,8.65,844753000.0,8.22,6.22,0.77,0.43,1.09,0.92,6.25,5.46,11.09,4.86,13.66,1960000000.0,19.66,1.5,634400000.0,287200000.0,1.06,1.122,24.3,27800000.0,0.29,922000000.0,119.17,1.37,7.99,203900000.0,167560000.0,nan,96990000.0,0.26,2.75,0.25,2.83,nan,23.11,106800000.0,1790000000.0
ACEL,Consumer Cyclical,Gambling,12.91,994462000.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,-1.42,-11.98,nan,nan,nan,nan,nan,nan,1.375,nan,79580.0,0.0,3000000.0,60.0,0.02,nan,-3490000.0,-525100.0,nan,78300000.0,nan,nan,nan,nan,nan,0.0,-599240.0,691430000.0
ACER,Healthcare,Biotechnology,4.75,42198000.0,nan,-3.29,nan,nan,1.85,nan,-1.14,0.0,0.0,-49.35,-86.24,nan,nan,nan,nan,-31850000.0,-3.248,0.9123,nan,16120000.000000002,1.6,492200.0,2.15,7.09,2.27,-30110000.0,-17490000.0,nan,10100000.0,nan,nan,nan,nan,nan,0.0,-32759999.999999996,36460000.0
ACGL,Financial Services,Insurance—Diversified,45.71,18448000000.0,11.75,14.39,1.55,2.66,1.71,3.12,10.37,23.62,28.94,3.58,14.88,6930000000.0,17.24,29.0,2950000000.0,2089999999.9999998,3.87,1.0882,139.1,1730000000.0,4.28,2740000000.0,22.28,2.1,26.53,2049999999.9999998,-3080000000.0,nan,405620000.0,nan,nan,nan,nan,nan,0.0,1590000000.0,21650000000.0
ACH,Basic Materials,Aluminum,7.01,6962000000.0,21.38,nan,nan,nan,0.53,nan,nan,0.11,0.0,1.27,1.12,nan,nan,17.2,13620000000.0,nan,0.32,nan,-83.9,nan,nan,nan,152.51,0.77,13.12,nan,nan,nan,680910000.0,nan,nan,nan,nan,nan,0.0,nan,4770000000.0
ACHC,Healthcare,Medical Care Facilities,33.79,2963000000.0,nan,14.36,3.14,0.96,1.21,2.17,11.92,-6.89,12.92,3.74,-8.18,3070000000.0,35.07,2.1,1230000000.0,558380000.0,-2.41,0.9455,-7.9,92900000.0,1.05,3730000000.0,152.15,1.17,27.62,341430000.0,47230000.0,nan,88570000.0,nan,nan,nan,nan,nan,0.0,-211460000.0,6660000000.0
ACHV,Healthcare,Biotechnology,0.5576,13867000.0,nan,-0.48,nan,nan,0.55,nan,0.19,0.0,0.0,-74.34,-150.98,nan,nan,nan,nan,-16770000.0,-2.345,1.5,nan,7380000.0,0.88,nan,nan,2.43,1.0,-15340000.0,-8980000.0,nan,25040000.0,nan,nan,nan,nan,nan,0.0,-16840000.0,-3200000.0
ACIA,Technology,Communication Equipment,68.69,2855000000.0,89.12,33.64,-3.03,6.15,4.91,5.47,80.52,7.07,4.09,1.8,6.07,464660000.0,11.37,20.1,220680000.0,31560000.0,0.77,0.8571,40.6,336750000.0,8.09,19950000.0,3.45,4.26,13.96,72820000.0,56700000.0,nan,41270000.0,nan,nan,nan,nan,nan,0.0,32840000.000000004,2540000000.0
ACIU,Healthcare,Biotechnology,7.85,557532000.0,nan,-9.6,nan,nan,2.61,nan,nan,45.09,0.0,11.66,20.73,nan,nan,1349.5,-37080000.0,nan,-0.55,1.4706,nan,nan,nan,nan,0.86,22.08,2.99,nan,nan,nan,71660000.0,nan,nan,nan,nan,nan,0.0,nan,602680000.0
ACIW,Technology,Software—Infrastructure,32.33,3667000000.0,38.08,26.0,4.08,3.11,3.46,4.4,22.86,8.42,14.93,4.13,9.82,1180000000.0,10.11,44.5,579430000.0,226860000.0,0.83,2.0769,108.8,121580000.0,1.05,1490000000.0,140.43,1.37,9.16,172410000.0,96030000.0,nan,115600000.0,nan,nan,nan,nan,nan,0.0,99270000.0,5190000000.0
ACLS,Technology,Semiconductor Equipment & Materials,24.57,779433000.0,47.84,13.36,1.29,2.27,1.86,2.22,24.04,4.97,7.06,2.76,4.12,342960000.0,10.53,1.9,144150000.0,31650000.0,0.5,1.8125,14.8,139880000.0,4.29,48550000.0,11.57,5.47,12.87,nan,nan,nan,32590000.000000004,nan,nan,nan,nan,nan,0.0,17030000.0,760930000.0
ACM,Industrials,Engineering & Construction,50.51,7882000000.0,nan,17.13,1.64,0.39,2.14,0.59,12.5,-1.36,3.51,2.93,-4.59,20050000000.0,127.5,-3.6,813450000.0,949220000.0,-1.73,0.6866,-21.2,725440000.0,4.57,4390000000.0,113.7,1.16,23.22,771070000.0,513580000.00000006,nan,158620000.0,nan,nan,nan,nan,nan,0.0,-262160000.00000003,11860000000.0
ACMR,Technology,Semiconductor Equipment & Materials,38.95,668175000.0,39.4,34.97,1.88,6.44,7.25,6.7,40.44,16.61,15.98,7.69,20.94,103760000.0,6.37,44.2,34450000.0,17200000.0,0.93,2.65,127.9,47260000.0,2.6,19870000.0,16.81,2.91,5.06,4890000.0,-24400000.0,nan,16329999.999999998,nan,nan,nan,nan,nan,0.0,17240000.0,695690000.0
ACN,Technology,Information Technology Services,204.78,129364000000.0,27.14,23.57,2.93,2.94,8.52,3.02,18.75,11.06,14.65,13.45,34.41,43970000000.0,68.99,7.1,13310000000.0,7070000000.0,7.49,1.0503,6.5,5810000000.0,9.16,3380000000.0,21.68,1.39,23.89,6390000000.0,5110000000.0,nan,635040000.0,3.2,1.51,3.06,1.5,1.8,30.17,4860000000.0,132550000000.00002
ACOR,Healthcare,Biotechnology,1.4,68746000.0,nan,-0.63,-0.03,0.36,0.22,1.02,-2.23,-141.87,-62.89,-7.2,-59.16,192410000.0,4.05,-27.0,157560000.0,-88080000.0,-5.75,0.375,584.3,125840000.0,2.64,249610000.0,80.31,1.38,6.53,nan,nan,nan,48030000.0,nan,nan,nan,nan,nan,0.0,-272960000.0,196080000.0
ACRE,Real Estate,REIT—Mortgage,17.31,569792000.0,13.52,12.45,2.13,7.47,1.16,24.99,nan,48.46,49.14,2.18,8.68,76330000.0,2.67,45.7,76330000.0,nan,1.28,1.0303,-3.6,5260000.0,0.16,1340000000.0,313.28,4.76,14.92,32450000.000000004,nan,nan,33390000.0,1.32,7.57,1.32,7.57,8.25,103.13,36990000.0,1910000000.0
