Ticker,Sector,Industry,Price,Market Cap (intraday),Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Diluted EPS,EPS Beat Ratio,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta (3Y Monthly),Shares Outstanding,Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Net Income Avi to Common,Enterprise Value
A,Healthcare,Diagnostics & Research,85.72,26575000000.0,25.36,22.49,2.73,5.15,5.56,5.33,21.5,20.74,20.2,7.25,22.99,5160000000.0,16.44,5.6,2810000000.0,1280000000.0,3.37,1.0471,-0.5,1380000000.0,4.45,2410000000.0,50.69,1.53,15.36,1020000000.0,846630000.0,nan,309000000.0,0.72,0.84,0.66,0.77,0.93,19.47,1070000000.0000001,27540000000.0
AA,Basic Materials,Aluminum,15.8,2931000000.0,nan,35.11,7.52,0.28,0.72,0.54,3.57,-10.78,8.4,3.58,-12.87,10430000000.0,56.25,-27.2,1900000000.0,1590000000.0,-6.07,1.4091,nan,879000000.0,4.74,1800000000.0,30.74,1.38,22.0,686000000.0,849880000.0,nan,185580000.0,nan,nan,0.36,2.29,nan,0.0,-1120000000.0,5670000000.0
AACG,Consumer Defensive,Education & Training Services,1.1,35374000.0,nan,nan,nan,nan,nan,nan,nan,-163.21,0.0,-9.47,-25.32,nan,nan,4108.0,-2910000.0,nan,nan,nan,nan,nan,nan,nan,6.99,0.52,nan,nan,nan,nan,28380000.0,nan,nan,nan,nan,nan,0.0,nan,27390000.0
AAL,Industrials,Airlines,30.01,12631000000.0,7.88,5.14,0.57,0.28,nan,0.93,7.12,3.68,8.1,3.84,nan,45770000000.0,103.23,3.4,12710000000.0,5990000000.0,3.79,1.0088,30.2,3830000000.0,8.8,33439999999.999996,nan,0.45,-0.27,nan,nan,nan,428200000.0,0.4,1.33,0.4,1.33,1.03,10.55,1690000000.0,42690000000.0
AAN,Industrials,Rental & Leasing Services,58.47,3869000000.0,19.76,12.83,0.69,0.98,2.07,1.13,7.03,5.09,13.81,11.48,11.03,3940000000.0,58.26,1.1,1910000000.0,634250000.0,2.92,0.8902,-9.0,150260000.0,2.24,721550000.0,38.63,1.66,27.81,344260000.0,2230000000.0,nan,67150000.0,0.16,0.28,0.14,0.24,0.29,4.81,200270000.0,4460000000.0
AAOI,Technology,Semiconductors,12.2,246070000.0,nan,-23.08,-1.07,1.23,0.81,1.62,-14.05,-19.57,-24.46,-6.34,-12.29,200230000.0,10.06,-18.3,87770000.0,-23100000.0,-1.97,0.625,nan,69990000.0,3.48,137980000.0,45.65,2.96,15.07,-10190000.0,-33009999.999999996,nan,20120000.0,nan,nan,nan,nan,nan,0.0,-39190000.0,324410000.0
AAON,Industrials,Building Products & Equipment,56.42,2955000000.0,59.08,42.97,4.65,6.44,10.57,6.26,33.4,10.94,13.84,11.93,18.98,459100000.0,8.81,0.5,103530000.0,85980000.0,0.96,0.9286,-1.8,28370000.0,0.55,nan,nan,3.16,5.36,81250000.0,30010000.0,nan,52100000.0,0.32,0.57,0.32,0.57,0.77,33.33,50230000.0,2870000000.0
AAP,Consumer Cyclical,Specialty Retail,134.75,9253000000.0,21.59,14.97,1.11,0.95,2.66,1.23,12.34,4.58,7.52,4.54,12.49,9700000000.0,135.19,1.6,4230000000.0000005,963470000.0,6.17,1.0244,6.8,573730000.0,8.33,3190000000.0,92.28,1.3,50.17,838070000.0,541310000.0,nan,69260000.0,0.24,0.18,0.24,0.18,0.17,3.87,444430000.0,11890000000.0
AAPL,Technology,Consumer Electronics,324.74,1423000000000.0,25.82,20.67,1.93,5.32,15.93,5.38,18.45,21.49,24.71,11.58,55.47,267680000000.0,58.99,8.9,98390000000.0,78120000000.0,12.6,1.0967,11.4,107160000000.0,24.49,116750000000.0,130.4,1.6,20.42,73220000000.0,45590000000.0,nan,4380000000.0,3.08,0.94,3.04,0.94,1.61,23.94,57530000000.0,1440000000000.0
AAT,Real Estate,REIT—Diversified,46.15,2764000000.0,54.79,34.09,14.89,7.54,2.1,10.94,19.77,12.47,31.0,2.85,5.74,366740000.0,6.78,21.6,234760000.0,202930000.0,0.84,0.9167,92.5,99300000.0,1.65,1360000000.0,104.95,2.78,21.87,nan,nan,nan,60070000.0,1.2,2.6,1.14,2.48,2.51,135.71,45720000.0,4010000000.0
AAWW,Industrials,Airports & Air Services,27.22,700843000.0,6.29,6.2,0.6,0.25,0.32,1.3,7.07,11.9,7.58,2.28,16.22,2760000000.0,107.04,-1.2,874410000.0,506060000.0,4.31,0.3627,-15.7,72460000.0,2.8,2940000000.0,134.15,0.39,84.79,354750000.0,106720000.0,nan,25870000.0,nan,nan,nan,nan,nan,0.0,328140000.0,3580000000.0
AAXN,Industrials,Aerospace & Defense,87.86,5206000000.0,345.41,68.54,2.9,10.99,10.25,10.36,205.56,3.24,2.8,1.13,3.17,473800000.0,8.03,24.8,258579999.99999997,23870000.0,0.25,1.0769,6.9,311460000.0,5.25,11650000.0,2.29,3.13,8.56,51100000.0,12150000.0,nan,59340000.0,nan,nan,nan,nan,nan,0.0,15340000.0,4910000000.0
AB,Financial Services,Asset Management,34.28,3287000000.0,15.04,10.48,1.52,13.41,2.26,13.71,nan,89.1,100.0,10.41,14.84,245140000.0,2.56,-8.4,270650000.0,nan,2.28,1.2143,-9.2,nan,nan,nan,nan,nan,15.15,228640000.0,nan,nan,95890000.0,2.52,7.2,2.32,6.71,8.17,104.39,218420000.0,3360000000.0
ABB,Industrials,Specialty Industrial Machinery,24.24,51583000000.0,36.16,18.36,1.45,1.84,3.82,2.12,17.17,5.14,8.89,3.43,7.64,27980000000.0,13.12,-4.4,8960000000.0,3450000000.0,0.67,0.6923,2.5,4110000000.0000005,1.93,10080000000.0,72.11,1.31,6.34,2320000000.0,-1640000000.0,nan,2130000000.0,0.79,3.18,0.83,3.4,3.01,160.47,1000000000.0,59210000000.0
ABBV,Healthcare,Drug Manufacturers—General,95.23,138950000000.0,17.8,8.93,2.69,4.18,nan,5.2,10.89,23.69,41.65,nan,nan,33270000000.000004,22.42,4.8,25850000000.0,15870000000.0,5.28,1.0091,nan,10650000000.0,7.2,38840000000.0,nan,nan,-5.56,nan,nan,nan,1480000000.0,4.72,4.83,4.39,4.6,3.77,81.06,7880000000.0,172810000000.0
ABC,Healthcare,Medical Distribution,94.16,18992000000.0,30.28,11.33,1.48,0.1,6.51,0.12,9.03,0.36,1.03,2.94,20.82,182060000000.0,872.55,5.4,4990000000.0,2330000000.0,3.09,1.0539,-52.3,3230000000.0,15.7,4710000000.0,153.36,0.94,14.36,2009999999.9999998,1300000000.0,nan,205890000.0,1.68,1.78,1.6,1.69,1.61,51.61,649350000.0,21050000000.0
ABCB,Financial Services,Banks—Regional,41.51,2863000000.0,14.98,9.6,1.25,4.25,1.16,5.61,nan,23.96,44.34,1.09,8.22,673920000.0,11.53,64.5,673920000.0,nan,2.75,1.0,40.7,622100000.0,8.97,1550000000.0,nan,nan,35.61,nan,nan,nan,69500000.0,0.6,1.46,0.5,1.21,0.82,18.18,161440000.0,3780000000.0
ABEO,Healthcare,Biotechnology,3.17,247952000.0,nan,-2.18,nan,514.42,1.62,245.48,-1.65,0.0,-16325.52,-32.42,-62.79,482000.0,0.01,nan,-35700000.0,-71550000.0,-1.59,0.7955,nan,47920000.0,0.94,8180000.0,8.51,2.45,1.88,-65540000.00000001,-43240000.0,nan,83540000.0,nan,nan,nan,nan,nan,0.0,-77330000.0,118320000.0
ABEV,Consumer Defensive,Beverages—Brewers,3.74,60617000000.0,21.28,18.72,3.37,nan,3.79,nan,nan,20.98,0.0,10.63,18.05,nan,nan,8.1,30960000000.0,nan,0.176,1.0,-11.6,nan,nan,nan,6.1,1.33,0.99,nan,nan,nan,15730000000.0,0.12,3.21,0.14,3.83,2.22,45.27,nan,59300000000.0
