Ticker,Sector,Industry,Price,Market Cap (intraday),Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Diluted EPS,EPS Beat Ratio,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta (3Y Monthly),Shares Outstanding,Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Net Income Avi to Common,Enterprise Value
AE,Energy,Oil & Gas Integrated,21.5,89671000.0,nan,nan,nan,0.052147664,0.64360195,0.01,131.62,-0.47,-1.01,-3.83,-5.6,1720000000.0,406.27,-20.6,34640000.0,132000.0,-1.92,nan,nan,87400000.0,20.63,15100000.0,10.84,1.91,32.89,2040000.0,-50070000.0,nan,4240000.0,0.96,4.38,0.96,4.38,2.4,nan,-8130000.000000001,17373828
AEG,Financial Services,Insurance—Diversified,3.0,5959000000.0,2.6556778,2.1481483,nan,nan,0.21421185,nan,nan,1.93,0.0,0.21,5.27,nan,nan,3200.1,4960000000.0,nan,1.092,nan,318.8,nan,nan,nan,60.9,2.16,13.54,nan,nan,nan,2009999999.9999998,nan,nan,0.33,11.01,6.29,53.71,nan,5952389120
AEIS,Industrials,Electrical Equipment & Parts,71.9,2815000000.0,41.75369,18.815857,2.29,2.9213595,4.105927,3.019,23.327,7.02,9.46,4.79,9.1,963660000.0,25.15,124.1,327830000.0,124700000.0,1.76,1.4,17.5,355030000.0,9.28,448270000.0,65.35,2.84,17.92,71470000.0,-58050000.0,nan,38270000.0,nan,nan,nan,nan,nan,0.0,59470000.0,2909006592
AEM,Basic Materials,Gold,76.55,19386000000.0,38.71895,28.088339,1.35,7.274091,3.6673586,7.735,17.924,18.46,34.54,6.71,9.96,2670000000.0,11.12,5.8,1260000000.0,1150000000.0,2.05,0.9,279.2,514390000.0,2.13,1920000000.0,36.76,3.27,21.67,932710000.0,-22740000.0,nan,241600000.0,0.8,1.01,0.7,0.93,0.97,33.82,492100000.0,20615428096
AEMD,Healthcare,Medical Devices,2.14,23417000.0,nan,-4.9743595,nan,36.01514,1.9303483,21.204,-2.335,0.0,-912.04,-51.08,-110.22,650190.0,0.19,158.4,650190.0,-5900000.0,-1.867,1.375,nan,9600000.0,0.8,141100.0,1.52,9.4,1.0,-5200000.0,-3110000.0,nan,12070000.0,nan,nan,nan,nan,nan,0.0,-6370000.0,13786569
AEO,Consumer Cyclical,Apparel Retail,10.19,1655000000.0,nan,10.416667,4.74,0.41649744,1.6600266,0.766,12.616,-2.68,1.66,1.2,-9.53,3970000000.0,23.62,-37.8,1520000000.0,241280000.0,-0.63,2.8,nan,885720000.0,5.35,2270000000.0,228.15,2.35,6.02,197800000.0,-91470000.0,nan,165500000.0,0.14,1.35,0.55,5.39,3.26,nan,-106660000.0,3043913216
AEP,Utilities,Utilities—Regulated Electric,85.74,43056000000.0,23.348562,18.764578,3.46,2.822972,2.1807775,4.917,14.451,12.09,18.57,2.38,9.37,15250000000.0,30.87,-7.6,6500000000.0,5190000000.0,3.72,0.9358,-13.5,1740000000.0,3.51,33330000000.0,166.04,0.45,39.84,4080000000.0,-2180000000.0,nan,494830000.0,2.8,3.25,2.74,3.18,3.34,73.66,1840000000.0,74987962368
AER,Industrials,Airports & Air Services,27.1,3492000000.0,3.2021403,4.7245617,8.98,0.71464217,0.3566415,6.56,11.945,22.57,54.48,3.77,11.85,4890000000.0,37.59,-6.6,2970000000.0,2680000000.0,8.41,1.3285,-25.8,2380000000.0,18.69,30930000000.0,318.8,1.81,75.51,2520000000.0,-1390000000.0,nan,129669999.99999999,nan,nan,nan,nan,nan,0.0,1100000000.0,32053428224
AERI,Healthcare,Drug Manufacturers—Specialty & Generic,11.79,537174000.0,nan,-5.3767443,0.05,6.7673707,4.223603,6.081,-3.023,-252.92,-230.9,-33.92,-125.73,79380000.0,1.74,87.4,42290000.0,-159660000.0,-4.41,1.0779,nan,264730000.00000003,5.7,210280000.0,165.3,4.28,2.74,-143610000.0,-90700000.0,nan,46470000.0,nan,nan,nan,nan,nan,0.0,-200760000.0,482718016
AES,Utilities,Utilities—Diversified,15.23,10127000000.0,34.535145,9.88961,1.52,1.0252641,3.9879549,3.198,10.071,2.97,20.95,3.82,9.02,9880000000.0,14.87,-11.8,2350000000.0,3140000000.0,0.44,1.0,-6.5,1870000000.0,2.82,21090000000.0,441.49,1.06,3.82,2080000000.0,-410120000.0,nan,664770000.0,0.57,3.72,0.55,3.62,3.71,125.64,292000000.0,31582541824
