Ticker,Sector,Industry,Price,Market Cap (intraday),Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Diluted EPS,EPS Beat Ratio,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta (3Y Monthly),Shares Outstanding,Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Net Income Avi to Common,Enterprise Value
A,Healthcare,Diagnostics & Research,87.27,27113000000.0,25.94,23.0,2.79,5.25,5.69,5.45,21.98,20.74,20.2,7.25,22.99,5160000000.0,16.44,5.6,2810000000.0,1280000000.0,3.37,1.0471,-0.5,1380000000.0,4.45,2410000000.0,50.69,1.53,15.36,1020000000.0,846630000.0,nan,309000000.0,0.72,0.82,0.66,0.75,0.94,19.47,1070000000.0000001,28150000000.0
AA,Basic Materials,Aluminum,19.73,3724000000.0,nan,27.11,1.46,0.33,0.82,0.59,3.84,-7.0,9.16,4.21,-4.28,11340000000.0,61.22,-24.3,3320000000.0,1740000000.0,-4.29,1.3333,nan,841000000.0,4.53,1960000000.0,30.64,1.48,24.46,959000000.0,680750000.0,nan,185570000.0,nan,nan,0.36,1.84,nan,0.0,-794000000.0,6690000000.0
AACG,Consumer Defensive,Education & Training Services,1.51,43584000.0,nan,nan,nan,nan,nan,nan,nan,-163.21,0.0,-9.47,-25.32,nan,nan,4108.0,-2910000.0,nan,nan,nan,nan,nan,nan,nan,6.99,0.52,nan,nan,nan,nan,28380000.0,nan,nan,nan,nan,nan,0.0,nan,37850000.0
AAL,Industrials,Airlines,27.91,12204000000.0,7.89,5.38,0.58,0.27,76.33,0.91,6.81,3.52,8.35,4.16,nan,45390000000.0,100.9,3.0,12200000000.0,6060000000.0,3.53,1.0216,14.2,5170000000.0,11.8,34440000000.0,21525.0,0.49,0.37,3930000000.0,564120000.0,nan,438060000.0,0.4,1.46,0.4,1.46,1.01,11.3,1600000000.0,41270000000.0
AAN,Industrials,Rental & Leasing Services,58.23,3895000000.0,19.89,12.92,0.7,0.99,2.09,1.13,7.01,5.09,13.81,11.48,11.03,3940000000.0,58.26,1.1,1910000000.0,634250000.0,2.92,0.8902,-9.0,150260000.0,2.24,721550000.0,38.63,1.66,27.81,344260000.0,2230000000.0,nan,67150000.0,0.16,0.28,0.14,0.24,0.29,4.81,200270000.0,4450000000.0
AAOI,Technology,Semiconductors,13.81,272729000.0,nan,-25.58,-1.13,1.36,0.9,1.7,-14.73,-19.57,-24.46,-6.34,-12.29,200230000.0,10.06,-18.3,87770000.0,-23100000.0,-1.97,0.625,nan,69990000.0,3.48,137980000.0,45.65,2.96,15.07,-10190000.0,-33009999.999999996,nan,20120000.0,nan,nan,nan,nan,nan,0.0,-39190000.0,340300000.0
AAON,Industrials,Building Products & Equipment,51.68,2709000000.0,54.16,39.39,4.12,5.9,9.69,5.7,30.46,10.94,13.84,11.93,18.98,459100000.0,8.81,0.5,103530000.0,85980000.0,0.96,0.9286,-1.8,28370000.0,0.55,nan,nan,3.16,5.36,81250000.0,30010000.0,nan,52100000.0,0.32,0.63,0.32,0.62,0.77,33.33,50230000.0,2620000000.0
AAP,Consumer Cyclical,Specialty Retail,145.59,10047000000.0,23.5,16.15,1.2,1.04,2.89,1.3,13.09,4.58,7.52,4.54,12.49,9700000000.0,135.19,1.6,4230000000.0000005,963470000.0,6.17,1.0244,6.8,573730000.0,8.33,3190000000.0,92.28,1.3,50.17,838070000.0,541310000.0,nan,69260000.0,0.24,0.17,0.24,0.17,0.17,3.87,444430000.0,12620000000.0
AAPL,Technology,Consumer Electronics,316.7,1389000000000.0,26.64,21.05,2.29,5.34,15.55,5.33,18.13,21.24,24.57,11.35,55.92,260170000000.00003,56.34,1.8,98390000000.0,76480000000.0,11.89,1.0669,-3.1,100560000000.0,22.63,108050000000.0,119.4,1.54,20.36,69390000000.0,42910000000.0,nan,4380000000.0,3.08,0.99,3.0,0.95,1.62,25.23,55260000000.0,1390000000000.0
AAT,Real Estate,REIT—Diversified,46.03,2733000000.0,58.83,44.26,18.92,7.9,2.08,11.45,20.6,11.42,30.56,2.65,5.01,346200000.0,6.8,19.5,211520000.0,192410000.0,0.77,0.8148,23.7,115570000.0,1.93,1370000000.0,105.2,3.0,21.97,139710000.0,35990000.0,nan,59960000.0,1.2,2.63,1.12,2.43,2.5,145.45,39550000.0,3960000000.0
