Ticker,Sector,Industry,Price,Market Cap (intraday),Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Diluted EPS,EPS Beat Ratio,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta (3Y Monthly),Shares Outstanding,Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Net Income Avi to Common,Enterprise Value
A,nan,nan,89.45,27377000000.0,26.19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2810000000.0,nan,nan,1.0471,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.66,0.74,nan,nan,nan,nan
AA,nan,nan,16.3,2878000000.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1900000000.0,nan,nan,1.4091,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.36,2.21,nan,nan,nan,nan
AACG,nan,nan,1.4699,38314000.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2910000.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AAL,nan,nan,28.85,12108000000.0,7.82,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12200000000.0,nan,nan,1.0088,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4,1.39,nan,nan,nan,nan
AAN,nan,nan,61.23,4128000000.0,21.08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1910000000.0,nan,nan,0.8902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.14,0.23,nan,nan,nan,nan
AAOI,nan,nan,14.33,280878000.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,87770000.0,nan,nan,0.625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AAON,nan,nan,53.85,2785000000.0,55.68,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,103530000.0,nan,nan,0.9286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.32,0.59,nan,nan,nan,nan
AAP,nan,nan,150.0,9813000000.0,22.95,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4230000000.0000005,nan,nan,1.0244,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.24,0.16,nan,nan,nan,nan
AAPL,nan,nan,320.25,1395000000000.0,26.77,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,98390000000.0,nan,nan,1.0669,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,0.94,nan,nan,nan,nan
AAT,nan,nan,47.97,2862000000.0,61.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,211520000.0,nan,nan,0.8148,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.12,2.34,nan,nan,nan,nan
AAWW,nan,nan,25.72,640046000.0,5.74,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,874410000.0,nan,nan,0.3627,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AAXN,nan,nan,79.19,4780000000.0,317.13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,258579999.99999997,nan,nan,1.0769,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AB,nan,nan,33.75,3224000000.0,14.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,270650000.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.32,6.88,nan,nan,nan,nan
ABB,nan,nan,24.12,50737000000.0,35.69,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8600000000.0,nan,nan,1.375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.81,3.41,nan,nan,nan,nan
ABBV,nan,nan,85.43,123541000000.0,38.37,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25040000000.0,nan,nan,1.013,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.28,5.02,nan,nan,nan,nan
ABC,nan,nan,91.54,18311000000.0,22.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4990000000.0,nan,nan,1.019,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.6,1.76,nan,nan,nan,nan
ABCB,nan,nan,43.21,2897000000.0,15.12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,683520000.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.45,1.05,nan,nan,nan,nan
ABDC,nan,nan,9.46,122061000.0,17.62,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,28970000.0,nan,nan,0.65,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.72,7.6,nan,nan,nan,nan
ABEO,nan,nan,2.82,219703000.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-35700000.0,nan,nan,0.7955,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ABEV,nan,nan,4.51,71932000000.0,25.63,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30960000000.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.14,3.19,nan,nan,nan,nan
ABG,nan,nan,102.52,1925000000.0,10.66,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1100000000.0,nan,nan,1.0043,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ABIO,nan,nan,5.72,9006000.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5846,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ABM,nan,nan,39.37,2600000000.0,20.45,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,731100000.0,nan,nan,1.0645,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.72,1.83,nan,nan,nan,nan
ABMD,nan,nan,185.14,8262000000.0,38.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,639870000.0,nan,nan,0.3011,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ABR,nan,nan,14.87,1618000000.0,10.68,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,353810000.0,nan,nan,1.0606,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.14,7.69,nan,nan,nan,nan
ABT,nan,nan,90.85,159869000000.0,49.13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17920000000.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.28,1.41,nan,nan,nan,nan
ABTX,nan,nan,37.08,765414000.0,15.28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,132039999.99999999,nan,nan,0.8636,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ABUS,nan,nan,3.08,182868000.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-51990000.0,nan,nan,0.5676,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ACA,nan,nan,45.49,2166000000.0,18.29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,272000000.0,nan,nan,1.2593,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2,0.44,nan,nan,nan,nan
ACAD,nan,nan,40.89,6059000000.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18310000.0,nan,nan,0.725,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ACBI,nan,nan,17.81,388300000.0,8.44,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,84350000.0,nan,nan,1.2222,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ACC,nan,nan,47.19,6444000000.0,60.99,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,465370000.0,nan,nan,-14.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.86,3.95,nan,nan,nan,nan
ACCO,nan,nan,9.1,881608000.0,9.41,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,627900000.0,nan,nan,0.9697,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.24,2.64,nan,nan,nan,nan
ACEL,nan,nan,12.13,939649000.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ACER,nan,nan,4.5,42703000.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9123,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ACGL,nan,nan,45.24,18235000000.0,13.15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1760000000.0,nan,nan,1.0161,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ACH,nan,nan,7.78,7343000000.0,23.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13620000000.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ACHC,nan,nan,32.69,2874000000.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1230000000.0,nan,nan,0.9455,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ACHN,nan,nan,6.16,858764000.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-50120000.0,nan,nan,0.875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ACHV,nan,nan,0.581,14165000.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ACIA,nan,nan,68.68,2838000000.0,103.58,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,147120000.0,nan,nan,1.3636,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ACIU,nan,nan,9.16,619161000.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-37080000.0,nan,nan,1.4706,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ACIW,nan,nan,36.55,4144000000.0,43.04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,579430000.0,nan,nan,2.0769,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ACLS,nan,nan,25.53,811176000.0,53.23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,179640000.0,nan,nan,-2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ACM,nan,nan,49.94,7801000000.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,813450000.0,nan,nan,0.9875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
