Ticker,Sector,Industry,Price,Market Cap (intraday),Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Diluted EPS,EPS Beat Ratio,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta (3Y Monthly),Shares Outstanding,Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Net Income Avi to Common,Enterprise Value
A,Healthcare,Diagnostics & Research,74.97,23092000000.0,30.82,19.6,2.57,4.41,4.76,4.82,19.86,14.59,19.25,6.83,15.46,5240000000.0,16.78,5.7,2810000000.0,1270000000.0,2.42,1.0,-60.9,1230000000.0,3.95,2460000000.0,50.78,1.64,15.64,749000000.0,670500000.0,nan,310000000.0,0.72,0.93,0.67,0.87,0.93,27.65,764000000.0,25240000000.0
AA,Basic Materials,Aluminum,12.84,2449000000.0,nan,29.93,5.54,0.23,0.59,0.52,3.7,-10.78,7.17,3.04,-12.66,10430000000.0,56.4,-27.2,1920000000.0,1460000000.0,-6.08,1.4091,nan,879000000.0,4.73,1960000000.0,33.32,1.38,22.16,686000000.0,902880000.0,nan,185580000.0,nan,nan,0.36,2.67,nan,0.0,-1120000000.0,5410000000.0
AACG,Consumer Defensive,Education & Training Services,1.02,29519000.0,nan,nan,nan,nan,nan,nan,nan,-163.21,0.0,-9.47,-25.32,nan,nan,4108.0,-2910000.0,nan,nan,nan,nan,nan,nan,nan,6.99,0.52,nan,nan,nan,nan,28380000.0,nan,nan,nan,nan,nan,0.0,nan,26350000.0
AAL,Industrials,Airlines,19.8,8504000000.0,5.27,3.41,0.38,0.19,nan,0.84,6.19,3.68,8.5,4.03,nan,45770000000.0,103.23,3.4,12560000000.0,6210000000.0,3.79,1.0088,27.8,3830000000.0,8.98,33439999999.999996,nan,0.45,-0.28,3820000000.0,-17750000.0,nan,428200000.0,0.4,1.94,0.4,1.94,1.03,10.55,1690000000.0,38390000000.0
AAN,Industrials,Rental & Leasing Services,40.2,2640000000.0,nan,8.52,0.66,nan,1.52,0.86,7.18,0.8,9.76,7.86,1.8,3950000000.0,58.64,1.0,1840000000.0,471820000.0,0.46,1.0748,nan,57760000.0,0.87,710420000.0,40.89,0.55,26.04,317180000.0,2390000000.0,nan,66739999.99999999,nan,nan,nan,nan,nan,nan,31470000.0,3390000000.0
AAOI,Technology,Semiconductors,8.95,188325000.0,nan,-17.66,-0.8,0.94,0.62,1.3,-11.27,-19.57,-24.46,-6.34,-12.29,200230000.0,10.06,-18.3,87770000.0,-23100000.0,-1.97,0.625,nan,69990000.0,3.48,137980000.0,45.65,2.96,15.07,-10190000.0,-33009999.999999996,nan,20120000.0,nan,nan,nan,nan,nan,0.0,-39190000.0,260250000.0
AAON,Industrials,Building Products & Equipment,56.24,2973000000.0,59.45,34.38,3.48,6.48,10.64,6.47,34.57,10.94,13.84,11.93,18.98,459100000.0,8.81,0.5,103530000.0,85980000.0,0.96,1.1379,-1.8,28370000.0,0.55,nan,nan,3.16,5.36,81250000.0,30010000.0,nan,52100000.0,0.32,0.56,0.32,0.56,0.77,33.33,50230000.0,2970000000.0
AAP,Consumer Cyclical,Specialty Retail,131.29,9000000000.0,19.0,13.1,1.05,0.93,2.52,1.24,12.11,5.01,7.8,4.66,13.72,9710000000.0,137.0,0.4,4260000000.0,995150000.0,6.84,1.2148,79.5,418660000.0,6.09,3240000000.0,91.36,1.27,51.61,866910000.0,275240000.0,nan,69260000.0,1.0,0.75,0.24,0.18,0.17,3.51,486900000.0,12050000000.0
AAPL,Technology,Consumer Electronics,257.26,1153000000000.0,20.92,16.81,1.66,4.31,12.91,4.74,16.26,21.49,24.71,11.58,55.47,267680000000.0,58.99,8.9,98390000000.0,78120000000.0,12.6,1.0967,11.4,107160000000.0,24.49,116750000000.0,130.4,1.6,20.42,73220000000.0,45590000000.0,nan,4380000000.0,3.08,1.07,3.04,1.11,1.61,23.94,57530000000.0,1270000000000.0
AAT,Real Estate,REIT—Diversified,40.97,2451000000.0,48.28,30.22,14.26,6.76,1.87,10.36,18.23,12.61,31.35,2.85,5.74,362580000.0,6.7,20.1,237300000.0,206100000.0,0.85,0.9167,92.5,99740000.0,1.66,1360000000.0,105.46,2.75,21.87,153820000.0,46840000.0,nan,60070000.0,1.2,2.87,1.14,2.73,2.51,135.71,45720000.0,3760000000.0
AAWW,Industrials,Airports & Air Services,24.77,665917000.0,nan,4.63,0.37,0.24,0.37,1.27,7.21,-10.7,6.82,2.14,-15.19,2740000000.0,106.06,-2.3,842700000.0,481700000.0,-11.35,1.2709,nan,103910000.0,4.0,2920000000.0,162.68,0.57,69.27,300340000.0,-90180000.0,nan,25870000.0,nan,nan,nan,nan,nan,0.0,-293110000.0,3470000000.0
AAXN,Industrials,Aerospace & Defense,72.0,4537000000.0,301.04,59.74,2.84,9.58,8.93,9.03,179.16,3.24,2.8,1.13,3.17,473800000.0,8.03,24.8,258579999.99999997,23870000.0,0.25,1.0769,6.9,311460000.0,5.25,11650000.0,2.29,3.13,8.56,51100000.0,12150000.0,nan,59340000.0,nan,nan,nan,nan,nan,0.0,15340000.0,4280000000.0000005
ABB,Industrials,Specialty Industrial Machinery,21.37,45779000000.0,31.75,16.12,1.31,1.64,3.36,1.9,15.15,5.14,9.39,3.63,7.64,27980000000.0,13.12,-4.4,8960000000.0,3520000000.0,0.67,0.6923,2.5,4110000000.0000005,1.93,10080000000.0,72.11,1.31,6.34,2320000000.0,-1550000000.0,nan,2130000000.0,0.79,3.58,0.83,3.76,3.01,160.47,1000000000.0,53260000000.0
ABBV,Healthcare,Drug Manufacturers—General,82.79,122341000000.0,15.66,7.86,1.81,3.68,nan,4.75,10.05,23.69,41.17,11.53,nan,33270000000.000004,22.46,4.8,25830000000.0,15710000000.0,5.28,1.0091,nan,39920000000.0,26.99,67090000000.0,nan,3.18,-5.53,13320000000.0,8650000000.0,nan,1480000000.0,4.72,5.34,4.39,5.14,3.77,81.06,7840000000.0,157940000000.0
ABC,Healthcare,Medical Distribution,83.55,16997000000.0,26.74,10.01,1.36,0.09,5.75,0.11,8.33,0.36,1.03,2.94,20.82,182060000000.0,872.55,5.4,4990000000.0,2330000000.0,3.09,1.0539,-52.3,3230000000.0,15.7,4710000000.0,153.36,0.94,14.36,2009999999.9999998,1300000000.0,nan,205890000.0,1.68,1.94,1.6,1.85,1.61,51.61,649350000.0,19420000000.0
ABCB,Financial Services,Banks—Regional,34.51,2373000000.0,12.41,7.96,1.15,3.52,0.96,5.0,nan,23.96,44.34,1.09,8.22,673920000.0,11.53,64.5,673920000.0,nan,2.75,1.0,40.7,622100000.0,8.97,1550000000.0,nan,nan,35.61,nan,nan,nan,69500000.0,0.6,1.7,0.5,1.42,0.82,18.18,161440000.0,3370000000.0
ABEO,Healthcare,Biotechnology,3.21,257195000.0,nan,-2.2,nan,533.6,1.64,268.83,-1.81,0.0,-16325.52,-32.42,-62.79,482000.0,0.01,nan,-35700000.0,-71550000.0,-1.59,0.7955,nan,47920000.0,0.94,8180000.0,8.51,2.45,1.88,-65540000.00000001,-43240000.0,nan,83540000.0,nan,nan,nan,nan,nan,0.0,-77330000.0,129580000.00000001
ABEV,Consumer Defensive,Beverages—Brewers,3.11,50457000000.0,17.78,14.91,2.95,nan,3.17,nan,nan,20.98,0.0,10.63,18.05,nan,nan,8.1,30960000000.0,nan,0.176,1.1667,-11.6,nan,nan,nan,6.1,1.33,0.99,nan,nan,nan,15730000000.0,0.12,3.72,0.14,4.37,2.22,45.27,nan,51120000000.0
