Ticker,Sector,Industry,Price,Market Cap (intraday),Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Diluted EPS,EPS Beat Ratio,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta (3Y Monthly),Shares Outstanding,Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Net Income Avi to Common,Enterprise Value
AAT,Real Estate,REIT—Diversified,26.12,1622000000.0,35.479633,27.83505,13.1,4.360191,1.2467676,7.682,13.211,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.1818,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2857540864
AIZ,Financial Services,Insurance—Specialty,105.2,6411000000.0,18.811483,10.196395,0.6,0.63772887,1.1955724,0.795,10.504,3.7,6.28,0.92,6.89,10050000000.0,163.6,5.3,934300000.0,761100000.0,5.71,1.0909,-6.6,2260000000.0,37.83,3820000000.0,70.95,0.6,89.89,1040000000.0,1260000000.0,nan,59650000.0,2.52,2.39,2.46,2.34,2.11,42.78,352900000.0,7994527744
AJG,Financial Services,Insurance Brokers,106.0,20382000000.0,28.54222,24.997673,2.64,3.0166593,3.7497382,3.734,17.076,10.72,13.08,2.73,14.5,6760000000.0,35.9,-4.3,2280000000.0,1480000000.0,3.77,1.0578,39.6,349700000.0,1.83,4950000000.0,89.47,1.09,28.67,nan,nan,nan,189620000.0,1.8,1.72,1.76,1.68,2.54,49.15,724600000.0,25229103104
AJRD,Industrials,Aerospace & Defense,40.09,3243000000.0,27.066929,20.420792,4.09,1.6270148,4.7682347,1.424,10.341,6.46,10.09,4.73,21.6,1990000000.0,25.75,5.6,367900000.0,274400000.0,1.52,1.119,-11.1,1030000000.0,13.29,672900000.0,100.24,1.76,8.65,357600000.0,212940000.0,nan,78530000.0,nan,nan,nan,nan,nan,0.0,126800000.0,2837627648
AJX,Real Estate,REIT—Mortgage,8.56,197661000.0,6.729118,6.84127,nan,3.5222373,0.5950162,24.325,nan,49.49,55.3,1.93,8.78,56120000.0,2.67,-49.9,50710000.0,nan,1.28,0.0714,-94.5,31180000.0,1.36,1170000000.0,328.45,2.73,14.49,-40790000.0,nan,nan,22930000.0,0.68,7.94,1.24,14.45,8.3,102.4,27520000.0,1365071104
AKAM,Technology,Software—Infrastructure,111.17,18328000000.0,34.072727,20.518248,1.96,6.0267696,4.6773996,6.437,20.909,17.82,21.15,6.4,14.85,3040000000.0,18.75,12.7,1910000000.0,936150000.0,3.3,1.1405,42.1,1370000000.0,8.45,2690000000.0,68.77,3.34,24.04,1100000000.0,346430000.0,nan,163000000.0,nan,nan,nan,nan,nan,0.0,542050000.0,19574202368
AKBA,Healthcare,Biotechnology,11.91,1596000000.0,nan,-15.957143,nan,4.550492,3.6707196,4.125,-9.243,-76.39,-55.67,-14.54,-55.67,350810000.0,2.89,21.8,26520000.0,-156560000.0,-2.21,0.7581,nan,115370000.0,0.89,107380000.0,27.09,1.59,3.04,-209100000.0,-110620000.0,nan,142920000.0,nan,nan,nan,nan,nan,0.0,-267980000.00000003,1447071616
AKCA,Healthcare,Biotechnology,11.57,1100000000.0,nan,-5.530612,-0.08,3.2287395,2.1554983,2.039,-26.005,-8.59,-9.8,-4.1,-6.51,340800000.0,3.57,-90.2,185720000.0,-26720000.0,-0.45,0.913,nan,421300000.0,4.15,15780000.0,3.1,12.63,5.03,101130000.0,-14200000.0,nan,101510000.0,nan,nan,nan,nan,nan,0.0,-42760000.0,694832960
AKR,Real Estate,REIT—Retail,12.15,1036999999.9999999,32.896175,75.25,68.17,3.4153726,0.721736,12.108,21.091,10.69,15.07,0.69,-2.03,303490000.0,3.54,-4.7,216630000.0,174220000.0,0.37,-1.6667,nan,23420000.0,0.27,2060000000.0,102.63,3.42,16.68,135130000.0,115570000.0,nan,86090000.0,1.16,9.45,1.14,9.29,3.98,308.11,32090000.000000004,3674501376
AKRO,Healthcare,Biotechnology,36.12,1218000000.0,nan,-9.540761,nan,nan,8.507391,nan,nan,0.0,0.0,-33.04,-53.49,nan,nan,nan,nan,nan,-2.27,0.6885,nan,125280000.0,4.37,230000.0,0.19,15.23,4.13,-41500000.0,-24410000.0,nan,34700000.0,nan,nan,nan,nan,nan,0.0,-50280000.0,881676672
AKTS,Technology,Communication Equipment,8.25,289564000.0,nan,-12.215385,nan,137.69086,7.497639,133.357,-10.262,0.0,-1436.33,-32.81,-93.33,2100000.0,0.07,53.2,430000.0,-27330000.0,-0.99,0.84,nan,39580000.0,1.09,20910000.0,54.32,11.38,1.06,-20690000.0,-15380000.0,nan,36470000.0,nan,nan,nan,nan,nan,0.0,-31820000.0,280449568
AKTX,Healthcare,Biotechnology,2.06,67251000.0,nan,-201,nan,nan,31.90476,nan,-2.347,0.0,0.0,-145.79,-1182.27,nan,nan,nan,nan,-21880000.0,-0.927,nan,nan,7820000.0,0.27,nan,nan,1.22,0.06,-20890000.0,-12000000.0,nan,33460000.0,nan,nan,nan,nan,nan,0.0,-17950000.0,51359468
AKUS,Healthcare,Biotechnology,19.85,635017000.0,nan,nan,nan,nan,nan,nan,-2.588,0.0,0.0,nan,nan,nan,nan,nan,nan,-29890000.0,nan,nan,nan,120170000.0,118.89,14240000.0,11.83,13.89,nan,-25050000.0,nan,nan,28320000.0,nan,nan,nan,nan,nan,0.0,-30270000.0,77358888
AL,Industrials,Rental & Leasing Services,26.47,2980000000.0,5.2179103,5.2335324,0.34,1.4448946,0.5194342,8.11,nan,28.42,57.55,3.54,10.75,2060000000.0,18.33,9.7,1310000000.0,nan,5.03,0.959,-0.7,732720000.0,6.45,14480000000.0,252.38,2.14,50.48,1370000000.0,-2390000000.0,nan,113640000.0,0.6,2.25,0.58,2.17,0.91,11.13,570380000.0,16724463616
ALB,Basic Materials,Specialty Chemicals,82.61,8767000000.0,17.287212,18.7836,1.59,2.5075927,2.2607267,3.335,12.277,14.5,20.94,5.16,14.58,3500000000.0,32.97,-11.2,1260000000.0,949860000.0,4.77,1.2048,-19.7,553230000.0,5.2,3280000000.0,81.25,1.81,36.47,819510000.0,27420000.0,nan,106320000.0,1.54,1.86,1.49,1.79,1.65,31.18,506860000.0,11661224960
ALBO,Healthcare,Biotechnology,27.68,423321000.0,nan,-4.464455,nan,39.87948,3.7316785,26.164,-3.932,0.0,-666.92,-24.92,-68.99,10620000.0,0.82,171.8,9640000.0,-70640000.0,-5.98,1.6397,nan,150520000.0,10.05,4920000.0,4.34,10.45,7.57,-63190000.0,-39440000.0,nan,14980000.0,nan,nan,nan,nan,nan,0.0,-77550000.0,277725792
ALC,Healthcare,Medical Instruments & Supplies,61.98,28934000000.0,nan,30.917524,7.81,3.8450086,1.5286592,4.294,22.315,-8.03,1.16,nan,-2.89,7530000000.0,15.41,0.9,3660000000.0,1450000000.0,-1.24,1.3235,nan,781000000.0,1.6,3790000000.0,19.75,1.93,39.24,920000000.0,nan,nan,488260000.0,nan,nan,0.2,0.32,nan,0.0,-604000000.0,32312227840
ALDX,Healthcare,Biotechnology,6.88,221009000.0,nan,-4.06962,-0.06,nan,4.3652406,nan,-3.046,0.0,0.0,-45.74,-90.32,nan,nan,nan,nan,-55170000.0,-1.99,0.7083,nan,38380000.0,1.29,14840000.0,34.14,12.84,1.47,-47710000.0,-11740000.0,nan,34370000.0,nan,nan,nan,nan,nan,0.0,-55070000.0,168022480
ALE,Utilities,Utilities—Diversified,58.93,3071000000.0,16.938017,15.8133335,2.53,2.5700836,1.3522141,4.064,12.302,15.18,16.03,2.21,7.85,1190000000.0,23.15,-12.8,435100000.0,394700000.0,3.5,1.1228,-6.0,67000000.0,1.29,1750000000.0,73.74,0.44,43.85,259200000.0,-376280000.0,nan,51790000.0,2.47,4.15,2.38,4.0,3.2,68.0,181400000.0,4855693312
ALEX,Real Estate,REIT—Diversified,11.8,854663000.0,nan,22.73077,3.32,2.1780398,0.7714901,4.028,17.901,-9.99,8.94,0.99,-3.48,392400000.0,5.43,-36.4,99600000.0,88300000.0,-0.55,1.5,-31.1,131600000.0,1.82,848400000.0,75.95,2.97,15.32,151900000.0,133360000.00000001,nan,72310000.0,0.76,5.78,0.74,6.16,nan,nan,-38500000.0,1580662912
ALG,Industrials,Farm & Heavy Construction Machinery,105.7,1223000000.0,21.980389,15.863077,3.65,1.0586997,2.10579,1.378,11.708,4.8,8.41,5.9,9.91,1160000000.0,98.24,-5.8,276480000.0,135920000.0,4.69,1.3086,-37.2,82000000.0,6.91,450050000.0,77.98,4.28,48.97,146620000.0,61240000.0,nan,11860000.0,0.52,0.49,0.5,0.47,0.48,9.18,55500000.0,1591366528
ALGN,Healthcare,Medical Devices,297.43,23142000000.0,13.68578,42.768562,9.77,10.711948,8.134777,10.549,64.564,78.75,12.43,5.27,80.65,2160000000.0,27.41,-41.3,1740000000.0,352990000.0,21.47,7.0,nan,404360000.0,5.13,50620000.0,1.78,1.22,36.12,522390000.0,355810000.0,nan,78760000.0,nan,nan,nan,nan,nan,0.0,1700000000.0,22790168576
ALGT,Industrials,Airlines,109.99,1820000000.0,nan,16.621662,1.26,1.2634523,2.199945,2.006,9.567,-1.5,12.45,nan,nan,1440000000.0,90.17,-72.9,673560000.0,301980000.0,-1.47,1.8583,nan,453310000.0,28.5,1560000000.0,192.68,nan,50.92,nan,nan,nan,16239999.999999998,nan,nan,2.1,1.88,1.71,32.33,-23520000.0,2889047040
ALIM,Healthcare,Drug Manufacturers—Specialty & Generic,5.84,29536000.0,nan,-8.385715,nan,0.53134334,nan,1.64,-89.536,-15.97,-6.59,-4.52,nan,55590000.0,11.49,12.8,47320000.0,-1020000.0,-1.84,0.3168,nan,12240000.0,2.43,42870000.0,nan,3.52,-7.11,-3890000.0,-922250.0,nan,5030000.0,nan,nan,nan,nan,nan,0.0,-8880000.0,91147856
ALK,Industrials,Airlines,34.21,4222000000.0000005,74.384445,19.907513,0.37,0.63257825,1.0939237,0.855,16.683,0.85,-1.29,-0.4,1.46,6670000000.0,54.2,-81.6,2490000000.0,342000000.0,0.46,0.9491,nan,2800000000.0,22.86,4280000000.0000005,110.98,0.79,31.48,nan,nan,nan,122580000.0,nan,nan,1.08,3.1,1.84,250.0,57000000.0,5705687040
ALKS,Healthcare,Biotechnology,18.5,2864000000.0,nan,48.675674,8.52,2.465635,2.6973193,2.344,-69.133,-10.87,-10.43,-4.26,-11.73,1160000000.0,7.35,-11.6,990560000.0,-39380000.0,-0.8,-6.0,nan,532559999.99999994,3.35,390780000.0,36.8,2.95,6.68,28340000.0,-1970000.0,nan,159040000.0,nan,nan,nan,nan,nan,0.0,-126320000.0,2722595840
ALL,Financial Services,Insurance—Property & Casualty,92.05,29649000000.0,7.9206176,8.360496,1.52,0.67753047,1.3391311,0.737,5.177,9.38,12.76,3.01,17.25,43760000000.0,134.9,-8.3,12490000000.0,6230000000.0,11.92,1.0114,-57.5,6010000000.0,19.13,6630000000.0,27.44,0.51,70.49,5440000000.0,2610000000.0,nan,314120000.0,2.16,2.35,2.04,2.22,1.82,17.17,3930000000.0,32244418560
ALLE,Industrials,Security & Protection Services,97.78,9174000000.0,32.418514,22.300447,-57.12,3.3578088,13.539341,3.798,16.945,10.48,19.97,12.0,42.66,2730000000.0,29.44,-19.4,1250000000.0,612400000.0,3.07,1.0952,-32.6,302400000.0,3.28,1500000000.0,221.09,2.11,7.35,509200000.0,379450000.0,nan,92230000.0,1.28,1.31,1.18,1.21,0.8,38.56,286400000.0,10377037824
ALLK,Healthcare,Biotechnology,77.32,3661000000.0,nan,-24.060898,nan,nan,7.6578593,nan,-32.276,0.0,0.0,-18.32,-28.87,nan,nan,nan,nan,-98820000.0,-2.0,0.9828,nan,479800000.0,9.84,8430000.0,1.76,33.75,9.8,-68350000.0,-37960000.0,nan,48770000.0,nan,nan,nan,nan,nan,0.0,-93240000.0,3189509888
ALLT,Technology,Software—Infrastructure,11.88,421265000.0,nan,101.16667,-13.21,3.6937866,3.2023215,3.051,-94.182,-6.13,-6.71,-2.35,-5.25,114050000.0,3.31,15.6,76270000.0,-3690000.0,-0.2,0.1111,nan,78140000.0,2.26,5690000.0,4.33,2.34,3.79,13060000.0,-15070000.0,nan,34520000.0,nan,nan,nan,nan,nan,0.0,-6990000.0,347909184
ALNA,Healthcare,Biotechnology,1.28,39928000.0,nan,-1.2916667,nan,nan,2.8770301,nan,-0.46,0.0,0.0,-68.3,-176.36,nan,nan,nan,nan,-42720000.0,-1.878,0.6889,nan,20450000.0,0.83,9410000.0,88.29,2.84,0.43,-42380000.0,-25850000.0,nan,24880000.0,nan,nan,nan,nan,nan,0.0,-43510000.0,19639262
ALNY,Healthcare,Biotechnology,151.34,16736000000.0,nan,-30.94692,-0.5,58.531456,12.22101,54.903,-16.703,0.0,-336.02,-27.97,-61.2,285930000.0,2.57,198.8,194690000.0,-939850000.0,-7.98,0.8571,nan,1340000000.0,11.69,304820000.0,22.58,4.68,11.93,-336080000.0,-399090000.0,nan,114820000.0,nan,nan,nan,nan,nan,0.0,-886420000.0,15698661376
ALPN,Healthcare,Biotechnology,10.48,213799000.0,nan,-52.272728,nan,75.52059,8.601346,63.123,-4.944,0.0,-1287.32,-38.95,-85.96,2830000.0,0.15,nan,-34110000.0,-36150000.0,-1.88,0.6383,nan,35680000.0,1.92,21630000.0,87.0,7.46,1.34,-33820000.0,-24420000.0,nan,18590000.0,nan,nan,nan,nan,nan,0.0,-35000000.0,178700448
ALRM,Technology,Software—Application,69.67,3415000000.0,66.07548,44.329113,4.15,6.3009086,9.306404,6.301,39.382,9.84,12.26,7.52,15.8,541970000.0,11.16,35.3,318760000.0,86720000.0,1.06,1.2353,-2.3,171730000.0,3.52,162070000.0,42.97,3.98,7.53,61200000.0,50270000.0,nan,48760000.0,nan,nan,nan,nan,nan,0.0,53330000.0,3415119104
ALRN,Healthcare,Biotechnology,0.95,34539000.0,nan,-1.5714285,-0.64,nan,2.5071225,nan,-0.608,0.0,0.0,-86.27,-255.61,nan,nan,nan,-17660000.0,-29320000.0,-1.04,1.2,nan,12700000.0,0.44,4930000.0,50.46,2.23,0.35,-24640000.0,-14660000.0,nan,39250000.0,nan,nan,nan,nan,nan,0.0,-28900000.0,17830090
ALSN,Consumer Cyclical,Auto Parts,37.98,4227999999.9999995,7.806102,9.883598,9.28,1.5895838,6.101584,2.525,6.453,21.65,32.93,12.42,80.05,2660000000.0,22.26,-5.6,1390000000.0,1040000000.0,4.79,1.2,-16.8,114000000.0,1.01,2600000000.0,375.61,1.56,6.12,801000000.0,423500000.0,nan,113180000.0,0.64,1.68,0.62,1.62,1.66,12.94,576000000.0,6717280768
ALT,Healthcare,Biotechnology,27.0,850626000.0,nan,-15.5438595,nan,168.15775,9.606071,74.279,-16.548,0.0,-454.94,-24.05,-44.08,5060000.0,0.35,-25.1,-11280000.0,-22710000.0,-1.53,0.8125,nan,32920000.0,2.15,1680000.0,4.01,6.56,2.77,-11840000.0,-12100000.0,nan,32000000.0,nan,nan,nan,nan,nan,0.0,-22310000.0,375741792
ALTA,Financial Services,Banks—Regional,19.81,352275000.0,8.116883,10.593221,1.24,2.9270148,1.0063872,0.931,nan,36.51,47.72,1.63,13.26,120350000.0,6.39,2.2,118100000.0,nan,2.31,1.1702,-5.9,323840000.0,17.23,83490000.0,nan,nan,18.63,nan,nan,nan,18790000.0,0.56,2.74,0.54,2.64,1.32,22.13,43940000.0,112025816
ALTG,Industrials,Rental & Leasing Services,7.21,224287000.0,nan,nan,nan,0.3528739,nan,0.997,9.377,-7.84,2.0,nan,nan,635600000.0,21.54,76.4,152100000.0,67600000.0,nan,2.2195,nan,36400000.0,1.23,446000000.0,346.27,0.99,nan,-66000000.0,nan,nan,29510000.0,nan,nan,nan,nan,nan,0.0,-49800000.0,633886336
ALTM,Energy,Oil & Gas Midstream,14.3,220303000.0,nan,7.617978,-0.19,1.4667671,0.7221986,9.108,17.384,-271.17,30.62,1.41,-85.98,150200000.0,40.09,31.0,79940000.0,78690000.0,-110.6,1.75,nan,1880000.0,0.5,493000000.0,55.17,1.73,18.78,141380000.0,-89150000.0,nan,3750000.0,nan,nan,nan,nan,nan,0.0,-414630000.0,1367950336
ALV,Consumer Cyclical,Auto Parts,66.83,5679000000.0,40.21645,11.780797,3.63,0.79850215,2.9251943,1.08,8.237,1.98,8.19,5.22,7.14,7110000000.0,81.52,-51.4,1580000000.0,932400000.0,1.62,1.3592,nan,1220000000.0,14.01,3210000000.0,164.24,1.57,22.23,535400000.0,377650000.0,nan,87330000.0,nan,nan,1.86,2.78,2.54,114.81,141100000.0,7680486400
ALX,Real Estate,REIT—Retail,256.61,1286000000.0,27.548138,19.353573,nan,5.749075,5.4703655,8.787,15.348,20.92,43.2,4.47,18.17,223680000.0,43.7,-4.7,136610000.0,128060000.0,9.14,0.2673,-74.4,438340000.0,85.83,1120000000.0,475.54,14.59,46.03,103020000.0,74020000.0,nan,5110000.0,18.0,7.0,18.0,7.0,4.53,196.94,46780000.0,1965501568
ALXN,Healthcare,Biotechnology,103.88,22633000000.0,26.914389,8.598154,0.82,4.087661,2.1405149,4.051,7.705,15.28,46.4,10.27,8.19,5540000000.0,24.97,20.1,4600000000.0,2910000000.0,3.81,1.2008,nan,2850000000.0,13.01,2820000000.0,26.87,4.79,47.88,2460000000.0,1690000000.0,nan,220830000.0,nan,nan,nan,nan,nan,0.0,846100000.0,22429839360
AM,Energy,Oil & Gas Midstream,5.72,2702000000.0,nan,5.90625,1.48,2.6275475,1.0708215,5.629,8.17,-71.83,50.55,5.2,-22.74,1030000000.0,2.09,-10.1,653780000.0,708420000.0,-1.5,0.8571,27.7,3000000.0,0.01,3090000000.0,122.42,1.03,5.3,732370000.0,-30300000.0,nan,476490000.0,1.23,22.12,1.23,21.1,nan,nan,-739080000.0,5788093440
