Ticker,Sector,Industry,Price,Market Cap (intraday),Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Diluted EPS,EPS Beat Ratio,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta (3Y Monthly),Shares Outstanding,Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Net Income Avi to Common,Enterprise Value
ACM,Industrials,Engineering & Construction,36.58,5814000000.0,nan,14.081396,1.02,0.29246718,1.6347193,0.397,8.214,-2.19,3.64,3.25,-4.73,19890000000.0,126.06,-4.9,813450000.0,961640000.0,-2.76,1.1,nan,1140000000.0,7.09,3040000000.0,82.89,1.23,22.22,364600000.0,770440000.0,nan,160090000.0,nan,nan,nan,nan,nan,0.0,-265000000.0,7898970112
ACMR,Technology,Semiconductor Equipment & Materials,87.3,1543000000.0,89.55696,52.73292,4.26,13.856185,15.600883,14.007,88.819,16.83,15.04,6.37,18.28,111390000.0,6.43,18.9,50650000.0,17570000.0,0.95,2.75,-8.2,52280000.0,2.88,7440000.0,4.7,3.91,5.44,16410000.0,-50170000.0,nan,16329999.999999998,nan,nan,nan,nan,nan,0.0,18740000.0,1560282752
ACN,Technology,Information Technology Services,221.5,142856000000.0,29.356188,27.76485,3.87,3.2084093,8.908745,3.107,19.168,11.11,14.68,12.93,32.82,44550000000.0,69.98,-1.0,13310000000.0,7220000000.0,7.64,1.027,-1.7,6450000000.0,10.13,3510000000.0,21.31,1.37,25.18,7180000000.0,5760000000.0,nan,636200000.0,3.2,1.45,3.2,1.45,1.74,31.41,4950000000.0,138414702592
ACOR,Healthcare,Biotechnology,0.78,35573000.0,nan,-0.36522168,-0.01,0.20169637,0.115321204,1.157,-2.769,-131.45,-64.0,-7.1,-53.1,176370000.0,3.71,-36.3,157560000.0,-73670000.0,-4.885,1.2439,nan,82890000.0,1.73,250260000.0,81.6,2.38,6.43,-89450000.0,-123300000.0,nan,47980000.0,nan,nan,nan,nan,nan,0.0,-231830000.0,203995984
ACRE,Real Estate,REIT—Mortgage,8.88,293617000.0,23.538605,8.205513,1.43,5.264303,0.6251709,32.681,nan,20.05,20.82,0.6,2.51,55770000.0,1.89,nan,76330000.0,nan,0.37,0.9412,nan,74500000.0,2.24,1610000000.0,345.13,2.35,14.04,33930000.0,nan,nan,33439999.999999996,1.32,15.19,1.32,15.19,8.8,300.0,11190000.0,1822799488
ACRX,Healthcare,Drug Manufacturers—Specialty & Generic,1.24,97102000.0,nan,-4.8092,nan,40.291416,nan,30.186,-1.345,0.0,-2320.95,-36.65,nan,2410000.0,0.03,45.7,-9180000.0,-54110000.0,-0.698,1.1765,nan,52730000.0,0.65,30170000.0,nan,3.69,-0.69,-52300000.0,-32009999.999999996,nan,80760000.0,nan,nan,nan,nan,nan,0.0,-55490000.0,72749224
ACST,Healthcare,Biotechnology,0.6761,61904000.0,nan,-1.9094285,nan,nan,4.640972,nan,-2.164,0.0,0.0,-51.13,-212.26,nan,nan,nan,nan,-22120000.0,-0.302,1.2917,nan,14240000.0,0.15,147000.0,1.13,2.17,0.14,-22940000.0,-16090000.0,nan,92490000.0,nan,nan,nan,nan,nan,0.0,-25510000.0,47874216
ACTG,Industrials,Specialty Business Services,4.01,196528000.0,nan,403.5,-4.02,16.834665,1.2566178,6.318,-4.483,-205.77,-172.02,-5.8,-12.68,11670000.0,0.23,12.6,-3850000.0,-16450000.0,-0.566,-1.375,nan,158110000.0,3.25,1400000.0,0.73,15.16,3.21,-2560000.0,-15310000.0,nan,48710000.0,nan,nan,0.12,3.07,nan,0.0,-25220000.0,73751624
ACU,Consumer Defensive,Household & Personal Products,22.78,76767000.0,12.266666,11.5,1.26,0.50945795,1.305409,0.771,8.916,4.32,6.32,4.95,11.44,150680000.0,45.0,9.5,52000000.0,13020000.0,1.88,1.1646,19.8,5240000.0,1.56,45070000.0,76.37,4.16,17.62,nan,nan,nan,3340000.0,0.48,2.15,0.48,2.11,2.07,25.67,6510000.0,116117216
ADBE,Technology,Software—Infrastructure,431.77,209479000000.0,57.62238,39.30873,2.95,17.390963,19.265076,17.164,47.574,30.71,31.36,11.44,35.55,12050000000.0,24.92,14.0,9500000000.0,4350000000.0,7.58,1.0515,73.8,4350000000.0,9.07,4700000000.0,43.17,1.29,22.67,4810000000.0,3590000000.0,nan,479660000.0,nan,nan,nan,nan,nan,0.0,3700000000.0,206750744576
ADC,Real Estate,REIT—Retail,62.18,3415000000.0,32.640247,36.65896,-40.48,15.99235,1.558499,19.456,22.579,41.98,53.93,2.66,4.94,213550000.0,4.68,28.1,163970000.0,184020000.0,1.94,1.2051,36.1,29340000.0,0.55,838690000.0,38.37,1.17,40.69,136890000.0,131380000.0,nan,53850000.0,2.4,3.79,2.34,3.76,4.02,120.62,89680000.0,4154991616
ADES,Industrials,Pollution & Treatment Controls,4.54,81184000.0,4.1929317,1.0115206,nan,1.2882302,0.7768536,1.774,-9.794,30.53,-30.12,-6.7,18.53,63020000.0,3.49,-36.6,29540000.0,-11410000.0,1.047,-0.1774,nan,12190000.0,0.68,42940000.0,42.19,1.08,5.65,59480000.0,-11620000.0,nan,18490000.0,nan,nan,1.0,22.22,nan,96.15,19220000.0,111783608
ADI,Technology,Semiconductors,113.12,42655000000.0,38.652626,21.44898,2.98,7.6938796,3.6747084,8.425,20.331,20.05,26.71,4.29,9.53,5540000000.0,15.03,-13.7,4010000000.0,2300000000.0,2.99,1.0485,-27.2,784940000.0,2.13,6150000000.0,53.08,1.3,31.46,1990000000.0,1550000000.0,nan,368950000.0,2.48,2.21,2.32,2.07,2.22,74.92,1110000000.0,46708482048
ADM,Consumer Defensive,Farm Products,41.32,23290000000.0,15.413603,12.743161,-1.71,0.3620716,1.227744,0.501,12.354,2.39,2.51,2.21,8.08,64319999999.99999,114.35,-2.2,4150000000.0000005,2610000000.0,2.72,1.1636,67.8,4730000000.0,8.52,13490000000.0,70.82,1.51,34.15,-4070000000.0000005,1200000000.0,nan,555500000.0,1.44,3.42,1.41,3.35,3.01,51.84,1540000000.0,32231835648
ADMP,Healthcare,Drug Manufacturers—Specialty & Generic,1.12,77247000.0,nan,-10.45,nan,3.531898,2.3222222,3.24,-2.891,-140.33,-125.86,-35.13,-84.1,21870000.0,0.38,-4.9,6310000.0,-24510000.0,-0.529,2.5,nan,10510000.0,0.14,3950000.0,11.88,1.45,0.45,-15850000.0,-7570000.0,nan,73920000.0,nan,nan,nan,nan,nan,0.0,-30690000.0,70860016
ADMS,Healthcare,Drug Manufacturers—Specialty & Generic,2.6,73211000.0,nan,-2,-0.03,1.274282,nan,1.654,-1.255,-160.44,-133.66,-26.12,-383.56,57450000.0,2.07,24.1,52170000.0,-75710000.0,-3.313,0.7662,nan,115280000.0,4.09,137120000.0,nan,5.61,-0.56,-77170000.0,-50970000.0,nan,28160000.0,nan,nan,nan,nan,nan,0.0,-92180000.0,95049336
ADNT,Consumer Cyclical,Auto Parts,17.8,1705000000.0,nan,9.360825,-1.58,0.10937593,1.1063051,0.341,8.991,-3.28,1.69,1.55,-18.89,15590000000.0,166.26,-17.0,801000000.0,591000000.0,-5.45,nan,nan,1640000000.0,17.47,4900000000.0,255.32,1.01,16.42,451000000.0,58250000.0,nan,93790000.0,nan,nan,0.28,1.54,nan,0.0,-511000000.0,5313494528
ADP,Industrials,Staffing & Employment Services,145.25,62640000000.0,25.01287,25.660212,2.1,4.2446494,11.409002,4.287,17.147,17.15,21.85,4.4,47.13,14760000000.0,34.17,5.7,6390000000.0,3690000000.0,5.83,1.0159,8.9,1710000000.0,3.97,2460000000.0,44.88,1.03,12.77,2980000000.0,2440000000.0,nan,429770000.0,3.64,2.5,3.4,2.34,2.1,58.32,2530000000.0,63257886720
ADPT,Healthcare,Biotechnology,36.69,4796000000.0,nan,-34.2844,-3.96,51.354065,8.578972,43.859,-48.161,-87.47,-99.63,-7.8,-19.44,93310000.0,0.96,65.1,-7910000.0,-84980000.0,-0.85,1.25,nan,555170000.0,4.38,38050000.0,6.9,7.5,4.36,-104500000.0,-43260000.0,nan,128229999.99999999,nan,nan,nan,nan,nan,0.0,-82330000.0,4092700672
ADRO,Healthcare,Biotechnology,2.76,227281000.0,nan,-3.1222222,-0.49,8.334478,3.807588,1.951,-0.793,-243.93,-263.56,-14.01,-76.04,27270000.0,0.34,254.2,-48610000.0,-67110000.0,-0.828,0.6923,nan,202920000.0,2.51,33020000.000000004,55.42,9.13,0.74,-62160000.0,-40980000.0,nan,80880000.0,nan,nan,nan,nan,nan,0.0,-66519999.99999999,53213376
ADS,Financial Services,Credit Services,44.0,2057999999.9999998,42.352943,3.8162546,1.14,0.3911876,1.7810026,3.21,21.336,1.11,13.99,1.72,18.06,5260000000.0,110.15,-27.4,1260000000.0,791400000.0,1.02,1.7222,-72.4,4960000000.0,104.2,19730000000.0,1708.96,nan,24.26,1200000000.0,nan,nan,47630000.0,0.84,1.89,2.1,4.73,nan,29.58,310700000.0,16885615616
ADSK,Technology,Software—Application,234.96,52049000000.0,174.08725,44.301304,1.9,15.19913,nan,15.086,91.944,8.91,13.73,5.68,nan,3420000000.0,15.59,20.4,2980000000.0,561900000.0,1.36,1.0625,nan,1470000000.0,6.69,2080000000.0,nan,0.79,-0.63,1520000000.0,965790000.0,nan,219200000.0,nan,nan,nan,nan,nan,0.0,305200000.0,51663233024
ADSW,Industrials,Waste Management,30.17,2724000000.0,nan,81.63513,10.92,1.6755666,2.9453924,2.805,11.77,-0.42,5.65,1.62,-0.75,1630000000.0,18.19,0.7,564400000.0,387400000.0,-0.08,1.0,nan,31000000.0,0.34,1870000000.0,202.47,0.67,10.26,272400000.0,79040000.0,nan,90180000.0,nan,nan,nan,nan,nan,0.0,-6900000.0,4559710208
