Ticker,Sector,Industry,Price,Market Cap (intraday),Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Diluted EPS,EPS Beat Ratio,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta (3Y Monthly),Shares Outstanding,Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Net Income Avi to Common,Enterprise Value
AFIN,Real Estate,REIT—Diversified,7.38,792254000.0,nan,6.886793,nan,2.616713,0.47538424,8.148,13.795,0.6,19.81,1.07,0.11,302770000.0,2.83,4.2,216380000.0,178830000.0,-0.08,-0.1538,nan,175740000.0,1.62,1810000000.0,107.48,4.66,15.36,109250000.0,179680000.0,nan,108530000.0,0.85,11.68,1.1,14.68,nan,nan,-9030000.0,2466892288
AFL,Financial Services,Insurance—Life,36.02,26096000000.0,9.131308,8.136465,4.91,1.1963948,0.989606,1.387,7.224,13.49,19.02,1.74,11.22,21810000000.0,29.65,-8.8,7760000000.0,4190000000.0000005,3.98,1.1,-39.0,5060000000.0,7.05,9730000000.0,36.84,0.47,36.75,5330000000.0,2450000000.0,nan,717510000.0,1.12,3.14,1.09,3.0,2.29,27.39,2940000000.0,30245156864
AFMD,Healthcare,Biotechnology,4.56,343887000.0,nan,-13.264707,nan,nan,6.741405,nan,nan,-279.79,0.0,-26.17,-115.13,nan,nan,-54.8,21410000.0,nan,-0.717,0.8462,nan,nan,nan,nan,7.48,2.59,0.67,nan,nan,nan,76250000.0,nan,nan,nan,nan,nan,0.0,nan,343887040
AFYA,Consumer Defensive,Education & Training Services,22.62,2091000000.0000002,nan,5.469586,3.79,nan,nan,nan,nan,24.16,0.0,5.88,12.44,nan,nan,88.3,441780000.0,nan,nan,1.2411,140.3,nan,nan,nan,16.94,3.75,nan,nan,nan,nan,44970000.0,nan,nan,nan,nan,nan,0.0,nan,2116788224
AG,Basic Materials,Silver,10.44,2163000000.0,nan,147.85715,nan,6.025757,3.3571198,6.019,23.001,-20.87,2.06,0.47,-11.85,363200000.0,1.77,-0.9,127460000.0,95040000.0,-0.37,2.0,nan,152100000.0,0.73,168150000.0,26.03,2.66,3.08,119360000.0,17420000.0,nan,210470000.0,nan,nan,nan,nan,nan,0.0,-75790000.0,2186075904
AGCO,Industrials,Farm & Heavy Construction Machinery,61.84,4613000000.0,37.780502,16.046875,4.67,0.51408577,1.7459553,0.705,7.9,1.39,5.92,4.17,4.32,8970000000.0,118.27,-3.4,1980000000.0,801400000.0,1.63,2.0476,-0.6,386700000.0,5.16,2040000000.0,75.69,1.49,35.29,590500000.0,404800000.0,nan,74870000.0,0.64,1.03,0.64,1.03,0.93,39.02,124800000.0,6331017728
AGFS,Consumer Defensive,Farm Products,2.43,118163000.0,nan,-9.869565,-0.64,0.7198594,0.37097564,3.133,8.202,-31.59,8.36,1.02,-15.59,164150000.0,3.27,-15.2,125020000.0,62700000.0,-1.032,0.5333,nan,28300000.0,0.55,409970000.0,127.89,2.63,6.12,12130000.0,25100000.0,nan,52050000.0,nan,nan,nan,nan,nan,0.0,-51860000.0,514214240
AGI,Basic Materials,Gold,10.34,3935000000.0,59.588234,32.677418,-1.46,5.5896044,1.491241,5.556,12.478,9.52,21.81,2.84,2.54,703900000.0,1.8,13.3,327700000.0,313400000.0,0.17,2.0,nan,230300000.0,0.59,100600000.0,3.79,3.44,6.79,274600000.0,-75110000.0,nan,391250000.0,0.06,0.58,0.05,0.44,0.63,26.47,67000000.0,3910526720
AGIO,Healthcare,Biotechnology,51.65,3573000000.0,nan,-10.966173,-0.28,20.444168,5.70627,17.639,-8.482,-205.2,-212.86,-28.67,-57.59,174780000.0,2.8,188.1,-294300000.0,-363490000.0,-5.74,0.3533,nan,528620000.0,7.67,111350000.0,17.81,8.41,9.09,-372710000.0,-199410000.0,nan,68890000.0,nan,nan,nan,nan,nan,0.0,-358650000.0,3083001344
AGLE,Healthcare,Biotechnology,8.05,355460000.0,nan,-4.087179,nan,nan,5.4254594,nan,-3.924,0.0,0.0,-52.83,-100.34,nan,nan,nan,-64599999.99999999,-81230000.0,-2.42,0.8769,nan,48990000.0,1.1,5170000.0,12.07,3.17,1.47,-71580000.0,-45030000.0,nan,44600000.0,nan,nan,nan,nan,nan,0.0,-79810000.0,318720288
