Ticker,Sector,Industry,Price,Market Cap (intraday),Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Diluted EPS,EPS Beat Ratio,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta (3Y Monthly),Shares Outstanding,Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Net Income Avi to Common,Enterprise Value
A,Healthcare,Diagnostics & Research,83.9,26372000000.0,35.2,22.39,2.7,5.04,5.44,5.23,21.54,14.59,19.25,6.83,15.46,5240000000.0,16.78,5.7,2810000000.0,1270000000.0,2.42,1.0,-60.9,1230000000.0,3.95,2460000000.0,50.78,1.64,15.64,749000000.0,670500000.0,nan,310000000.0,0.72,0.85,0.67,0.8,0.93,27.65,764000000.0,27380000000.0
AA,Basic Materials,Aluminum,16.01,2988000000.0,nan,36.59,6.1,0.29,0.73,0.55,3.61,-10.78,8.4,3.58,-12.87,10430000000.0,56.25,-27.2,1900000000.0,1590000000.0,-6.07,1.4091,nan,879000000.0,4.74,1800000000.0,30.74,1.38,22.0,686000000.0,849880000.0,nan,185580000.0,nan,nan,0.36,2.24,nan,0.0,-1120000000.0,5740000000.0
AACG,Consumer Defensive,Education & Training Services,1.22,31502000.0,nan,nan,nan,nan,nan,nan,nan,-163.21,0.0,-9.47,-25.32,nan,nan,4108.0,-2910000.0,nan,nan,nan,nan,nan,nan,nan,6.99,0.52,nan,nan,nan,nan,28380000.0,nan,nan,nan,nan,nan,0.0,nan,30820000.0
AAL,Industrials,Airlines,28.12,11853000000.0,7.34,4.79,0.57,0.26,nan,0.91,6.73,3.68,8.5,4.03,nan,45770000000.0,103.23,3.4,12560000000.0,6210000000.0,3.79,1.0088,27.8,3830000000.0,8.98,33439999999.999996,nan,0.45,-0.28,3820000000.0,-17750000.0,nan,428200000.0,0.4,1.4,0.4,1.4,1.03,10.55,1690000000.0,41760000000.0
AAN,Industrials,Rental & Leasing Services,45.11,2910000000.0,94.2,9.65,0.69,0.74,1.66,0.93,14.69,0.8,3.69,2.98,1.8,3950000000.0,58.64,1.0,1840000000.0,250920000.0,0.46,0.8902,nan,57760000.0,0.87,710420000.0,40.89,0.83,26.04,317180000.0,2190000000.0,nan,67150000.0,0.16,0.35,0.14,0.31,0.29,4.81,31470000.0,3680000000.0
AAOI,Technology,Semiconductors,11.7,226956000.0,nan,-21.28,-1.07,1.13,0.75,1.53,-13.24,-19.57,-24.46,-6.34,-12.29,200230000.0,10.06,-18.3,87770000.0,-23100000.0,-1.97,0.625,nan,69990000.0,3.48,137980000.0,45.65,2.96,15.07,-10190000.0,-33009999.999999996,nan,20120000.0,nan,nan,nan,nan,nan,0.0,-39190000.0,305700000.0
AAON,Industrials,Building Products & Equipment,56.35,2878000000.0,57.55,41.85,4.65,6.27,10.3,6.35,33.9,10.94,13.84,11.93,18.98,459100000.0,8.81,0.5,103530000.0,85980000.0,0.96,0.9286,-1.8,28370000.0,0.55,nan,nan,3.16,5.36,81250000.0,30010000.0,nan,52100000.0,0.32,0.57,0.32,0.57,0.77,33.33,50230000.0,2910000000.0
AAP,Consumer Cyclical,Specialty Retail,141.62,9736000000.0,20.56,14.16,1.11,1.0,2.72,1.3,12.69,5.01,7.8,4.66,13.72,9710000000.0,137.0,0.4,4260000000.0,995150000.0,6.84,1.2148,79.5,418660000.0,6.09,3240000000.0,91.36,1.27,51.61,866910000.0,275240000.0,nan,69260000.0,1.0,0.7,0.24,0.17,0.17,3.51,486900000.0,12620000000.0
AAPL,Technology,Consumer Electronics,318.62,1370000000000.0,24.86,19.98,1.91,5.12,15.33,5.27,18.06,21.49,24.71,11.58,55.47,267680000000.0,58.99,8.9,98390000000.0,78120000000.0,12.6,1.0967,11.4,107160000000.0,24.49,116750000000.0,130.4,1.6,20.42,73220000000.0,45590000000.0,nan,4380000000.0,3.08,0.96,3.04,0.95,1.61,23.94,57530000000.0,1410000000000.0
AAT,Real Estate,REIT—Diversified,45.49,2733000000.0,53.85,33.7,15.1,7.54,2.08,10.95,19.27,12.61,31.35,2.85,5.74,362580000.0,6.7,20.1,237300000.0,206100000.0,0.85,0.9167,92.5,99740000.0,1.66,1360000000.0,105.46,2.75,21.87,153820000.0,46840000.0,nan,60070000.0,1.2,2.64,1.14,2.51,2.51,135.71,45720000.0,3970000000.0
AAWW,Industrials,Airports & Air Services,32.84,821660000.0,nan,7.33,0.62,0.3,0.46,1.34,7.29,-10.7,6.82,2.14,-15.19,2740000000.0,106.06,-2.3,842700000.0,503700000.0,-11.35,0.3627,nan,103910000.0,4.02,2920000000.0,162.68,0.57,69.27,300340000.0,-115360000.0,nan,25870000.0,nan,nan,nan,nan,nan,0.0,-293110000.0,3670000000.0
AAXN,Industrials,Aerospace & Defense,86.74,5103000000.0,338.54,67.18,2.88,10.77,10.05,10.2,202.38,3.24,2.8,1.13,3.17,473800000.0,8.03,24.8,258579999.99999997,23870000.0,0.25,1.0769,6.9,311460000.0,5.25,11650000.0,2.29,3.13,8.56,51100000.0,12150000.0,nan,59340000.0,nan,nan,nan,nan,nan,0.0,15340000.0,4830000000.0
AB,Financial Services,Asset Management,34.75,3345000000.0,13.71,10.43,1.52,12.56,2.16,13.21,nan,89.59,100.0,10.93,15.68,266290000.00000003,2.78,31.7,266290000.00000003,nan,2.49,1.2143,33.6,nan,nan,nan,nan,nan,15.81,222760000.0,nan,nan,95890000.0,3.4,9.49,2.53,7.23,8.17,93.17,238560000.0,3520000000.0
ABB,Industrials,Specialty Industrial Machinery,24.06,51151000000.0,35.81,18.17,1.44,1.83,3.78,2.08,16.9,5.14,8.89,3.43,7.64,27980000000.0,13.12,-4.4,8960000000.0,3450000000.0,0.67,0.6923,2.5,4110000000.0000005,1.93,10080000000.0,72.11,1.31,6.34,2320000000.0,-1640000000.0,nan,2130000000.0,0.79,3.24,0.83,3.4,3.01,160.47,1000000000.0,58270000000.0
ABBV,Healthcare,Drug Manufacturers—General,93.96,140429000000.0,17.98,9.03,2.64,4.22,nan,5.04,10.56,23.69,41.65,nan,nan,33270000000.000004,22.42,4.8,25850000000.0,15870000000.0,5.28,1.0091,nan,10650000000.0,7.2,38840000000.0,nan,nan,-5.56,nan,nan,nan,1480000000.0,4.72,5.01,4.39,4.66,3.77,81.06,7880000000.0,167550000000.0
ABC,Healthcare,Medical Distribution,96.15,19972000000.0,31.42,11.74,1.48,0.11,6.76,0.12,9.2,0.36,1.03,2.94,20.82,182060000000.0,872.55,5.4,4990000000.0,2330000000.0,3.09,1.0539,-52.3,3230000000.0,15.7,4710000000.0,153.36,0.94,14.36,2009999999.9999998,1300000000.0,nan,205890000.0,1.68,1.74,1.6,1.66,1.61,51.61,649350000.0,21460000000.0
ABCB,Financial Services,Banks—Regional,40.93,2802000000.0,14.66,9.4,1.25,4.16,1.13,5.6,nan,23.96,44.34,1.09,8.22,673920000.0,11.53,64.5,673920000.0,nan,2.75,1.0,40.7,622100000.0,8.97,1550000000.0,nan,nan,35.61,nan,nan,nan,69500000.0,0.6,1.46,0.5,1.22,0.82,18.18,161440000.0,3770000000.0
