Ticker,Sector,Industry,Price,Market Cap (intraday),Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Diluted EPS,EPS Beat Ratio,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta (3Y Monthly),Shares Outstanding,Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Net Income Avi to Common,Enterprise Value
A,Healthcare,Diagnostics & Research,78.61,24485000000.0,23.67,23.0,2.41,4.81,5.16,4.82,19.95,21.06,19.86,7.45,23.02,5090000000.0,16.08,5.9,2690000000.0,1230000000.0,3.34,1.0556,-19.1,1760000000.0,5.7,1800000000.0,37.88,2.13,15.33,1080000000.0,664500000.0,1.36,309470000.0,0.72,0.92,0.64,0.82,0.95,19.19,1070000000.0000001,24520000000.0
AA,Basic Materials,Aluminum,20.39,3815000000.0,nan,22.35,1.58,0.34,0.84,0.61,3.94,-7.0,9.16,4.21,-4.28,11340000000.0,61.22,-24.3,3320000000.0,1740000000.0,-4.29,1.3333,nan,841000000.0,4.53,1960000000.0,30.64,1.48,24.46,959000000.0,680750000.0,1.66,185570000.0,nan,nan,0.36,1.79,nan,0.0,-794000000.0,6860000000.0
AACG,Consumer Defensive,Education & Training Services,1.85,44499000.0,nan,nan,nan,nan,nan,nan,nan,-163.21,0.0,-9.47,-25.32,nan,nan,4108.0,-2910000.0,nan,nan,nan,nan,nan,nan,nan,6.99,0.52,nan,nan,nan,1.28,23800000.0,nan,nan,nan,nan,nan,0.0,nan,46820000.0
AAL,Industrials,Airlines,28.2,12564000000.0,8.12,5.32,0.58,0.28,78.58,0.92,6.91,3.52,8.35,4.16,nan,45390000000.0,100.9,3.0,12200000000.0,6060000000.0,3.53,1.0216,14.2,5170000000.0,11.8,34440000000.0,21525.0,0.49,0.37,3930000000.0,564120000.0,1.69,438060000.0,0.4,1.43,0.4,1.43,0.98,11.3,1600000000.0,41840000000.0
AAN,Industrials,Rental & Leasing Services,56.95,3847000000.0,19.65,12.76,0.82,0.98,2.06,1.12,6.97,5.09,13.81,11.48,11.03,3940000000.0,58.26,1.1,1910000000.0,634250000.0,2.92,0.8902,-9.0,150260000.0,2.24,721550000.0,38.63,1.66,27.81,344260000.0,2230000000.0,0.51,67150000.0,0.16,0.28,0.14,0.25,0.3,4.81,200270000.0,4420000000.0
AAOI,Technology,Semiconductors,10.22,206006000.0,nan,-19.32,-0.85,1.03,0.68,1.37,-11.86,-19.57,-24.46,-6.34,-12.29,200230000.0,10.06,-18.3,87770000.0,-23100000.0,-1.97,0.625,nan,69990000.0,3.48,137980000.0,45.65,2.96,15.07,-10190000.0,-33009999.999999996,2.03,20120000.0,nan,nan,nan,nan,nan,0.0,-39190000.0,273930000.0
AAON,Industrials,Building Products & Equipment,48.59,2521000000.0,50.4,36.66,3.99,5.49,9.02,5.43,28.99,10.94,13.84,11.93,18.98,459100000.0,8.81,0.5,103530000.0,85980000.0,0.96,0.9286,-1.8,28370000.0,0.55,nan,nan,3.16,5.36,81250000.0,30010000.0,0.95,52100000.0,0.32,0.66,0.32,0.66,0.78,33.33,50230000.0,2490000000.0
AAP,Consumer Cyclical,Specialty Retail,158.3,10934000000.0,25.57,17.52,1.3,1.13,3.15,1.39,13.99,4.58,7.52,4.54,12.49,9700000000.0,135.19,1.6,4230000000.0000005,963470000.0,6.17,1.0244,6.8,573730000.0,8.33,3190000000.0,92.28,1.3,50.17,838070000.0,541310000.0,0.84,69260000.0,0.24,0.15,0.24,0.15,0.17,3.87,444430000.0,13480000000.0
AAPL,Technology,Consumer Electronics,262.59,1183000000000.0,22.02,17.6,2.04,4.55,12.85,4.5,15.31,21.24,24.57,11.35,55.92,260170000000.00003,56.34,1.8,98390000000.0,76480000000.0,11.89,1.0669,-3.1,100560000000.0,22.63,108050000000.0,119.4,1.54,20.36,69390000000.0,42910000000.0,1.25,4520000000.0,3.08,1.18,3.0,1.14,1.64,25.23,55260000000.0,1170000000000.0
AAT,Real Estate,REIT—Diversified,46.33,2760000000.0,59.55,56.83,22.94,7.97,2.1,11.51,20.87,11.43,30.57,2.65,5.01,346070000.0,6.8,20.8,211520000.0,190820000.0,0.77,0.8148,23.7,115570000.0,1.93,1360000000.0,104.58,2.89,21.97,nan,nan,0.34,59960000.0,1.2,2.6,1.12,2.43,2.49,145.45,39550000.0,3980000000.0
AAWW,Industrials,Airports & Air Services,24.5,647031000.0,5.81,6.27,0.54,0.23,0.29,1.28,6.95,11.9,7.58,2.28,16.22,2760000000.0,107.04,-1.2,874410000.0,506060000.0,4.31,0.3627,-15.7,72460000.0,2.8,2940000000.0,134.15,0.39,84.79,354750000.0,106720000.0,2.17,25870000.0,nan,nan,nan,nan,nan,0.0,328140000.0,3520000000.0
AAXN,Industrials,Aerospace & Defense,72.15,4277999999.9999995,283.82,56.32,2.37,9.03,8.42,8.4,166.66,3.24,2.8,1.13,3.17,473800000.0,8.03,24.8,258579999.99999997,23870000.0,0.25,1.0769,6.9,311460000.0,5.25,11650000.0,2.29,3.13,8.56,51100000.0,12150000.0,0.62,59340000.0,nan,nan,nan,nan,nan,0.0,15340000.0,3980000000.0
AB,Financial Services,Asset Management,29.3,2800000000.0,12.81,10.21,2.61,11.42,1.93,11.43,nan,89.1,100.0,10.41,14.84,245140000.0,2.56,-8.4,270650000.0,nan,2.28,1.0,-9.2,nan,nan,nan,nan,nan,15.15,228640000.0,nan,1.18,95890000.0,2.52,8.62,2.32,7.94,8.16,104.39,218420000.0,2800000000.0
