Ticker,Sector,Industry,Price,Market Cap (intraday),Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Diluted EPS,EPS Beat Ratio,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta (3Y Monthly),Shares Outstanding,Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Net Income Avi to Common,Enterprise Value
ADC,Real Estate,REIT—Retail,67.88,3544000000.0,34.273438,36.356354,-43.4,17.635557,1.7555958,21.989,25.54,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0455,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4418527232
AEG,Financial Services,Insurance—Diversified,3.25,6503000000.0,2.9166665,2.3592591,nan,nan,0.23526369,nan,nan,1.93,0.0,0.21,5.27,nan,nan,3200.1,4960000000.0,nan,1.092,nan,318.8,nan,nan,nan,60.9,2.16,13.54,nan,nan,nan,2009999999.9999998,nan,nan,0.33,9.79,6.16,53.71,nan,6958137856
AEGN,Industrials,Engineering & Construction,17.11,507630000.0,nan,14.904505,1.23,0.41459247,1.2294887,0.702,8.618,-1.51,5.15,3.89,-3.83,1220000000.0,39.65,3.8,248570000.0,99710000.0,-0.6,3.0,nan,73210000.0,2.39,381720000.0,90.84,2.14,13.46,77290000.0,56390000.0,nan,30680000.0,nan,nan,nan,nan,nan,0.0,-18520000.0,859315776
AEIS,Industrials,Electrical Equipment & Parts,70.26,2614000000.0,38.76277,17.55784,2.25,2.7120955,3.8118098,2.996,23.153,7.02,9.46,4.79,9.1,963660000.0,25.15,124.1,327830000.0,124700000.0,1.76,1.4,17.5,355030000.0,9.28,448270000.0,65.35,2.84,17.92,71470000.0,-58050000.0,nan,38270000.0,nan,nan,nan,nan,nan,0.0,59470000.0,2887195136
AEL,Financial Services,Insurance—Life,25.75,2300000000.0,4.4965963,5.2291665,0.52,1.0711843,0.65193117,0.564,1.796,24.2,31.18,0.64,16.06,2140000000.0000002,23.48,nan,1970000000.0,672920000.0,5.58,1.4522,nan,1830000000.0,20.03,759250000.0,21.55,0.28,38.5,1070000000.0000001,336460000.0,nan,91530000.0,0.3,1.11,0.3,1.15,1.02,5.38,512440000.00000006,1208823296
AEM,Basic Materials,Gold,59.75,14087000000.0,33.74495,23.485943,1.33,5.346968,2.788347,5.869,16.413,15.74,31.13,5.82,8.63,2630000000.0,11.05,26.2,1260000000.0,942160000.0,1.73,1.2778,nan,1340000000.0,5.57,2820000000.0,55.96,2.76,20.97,896360000.0,-82890000.0,nan,240330000.0,0.8,1.36,0.62,1.06,0.98,35.92,414570000.0,15463432192
AEMD,Healthcare,Medical Devices,1.44,13111000.0,nan,-2.745098,nan,25.04631,1.7010936,16.715,-1.669,0.0,-1005.44,-68.29,-178.97,523460.00000000006,0.31,nan,229620.0,-5240000.0,-3.708,0.2718,nan,4059999.9999999995,0.44,164410.0,4.32,5.31,0.82,-4970000.0,-2640000.0,nan,9360000.0,nan,nan,nan,nan,nan,0.0,-6230000.0,8749540
AEO,Consumer Cyclical,Apparel Retail,12.45,2043000000.0000002,nan,12.726804,10.06,0.51416606,2.0493028,0.89,14.66,-2.68,1.66,1.2,-9.53,3970000000.0,23.62,-37.8,1520000000.0,241280000.0,-0.63,2.8,nan,885720000.0,5.35,2270000000.0,228.15,2.35,6.02,197800000.0,-91470000.0,nan,165500000.0,0.14,1.06,0.55,4.33,3.25,nan,-106660000.0,3537104640
AEP,Utilities,Utilities—Regulated Electric,85.83,42506000000.0,23.050255,18.524837,3.42,2.786905,2.1529155,4.876,14.332,12.09,18.57,2.38,9.37,15250000000.0,30.87,-7.6,6500000000.0,5190000000.0,3.72,0.9358,-13.5,1740000000.0,3.51,33330000000.0,166.04,0.45,39.84,4080000000.0,-2180000000.0,nan,494830000.0,2.8,3.26,2.74,3.19,3.35,73.66,1840000000.0,74370015232
AER,Industrials,Airports & Air Services,37.55,4737000000.0,4.1014705,6.1827416,1.01,0.9530119,0.495888,6.677,12.021,23.91,55.12,3.73,13.02,4970000000.0,37.62,2.8,2970000000.0,2760000000.0,8.91,1.2229,18.2,4700000000.0,36.88,33000000000.0,349.16,2.37,73.69,2990000000.0,-1310000000.0,nan,129639999.99999999,nan,nan,nan,nan,nan,0.0,1190000000.0,33189156864
AERI,Healthcare,Drug Manufacturers—Specialty & Generic,15.37,697025000.0,nan,-7.4257426,0.07,8.78119,5.480453,8.13,-4.042,-252.92,-230.9,-33.92,-125.73,79380000.0,1.74,87.4,42290000.0,-159660000.0,-4.41,1.0779,nan,264730000.00000003,5.7,210280000.0,165.3,4.28,2.74,-143610000.0,-90700000.0,nan,46470000.0,nan,nan,nan,nan,nan,0.0,-200760000.0,645356928
AES,Utilities,Utilities—Diversified,13.78,8840000000.0,30.147392,8.577419,1.41,0.8950024,3.481278,3.135,9.874,2.97,20.95,3.82,9.02,9880000000.0,14.87,-11.8,2350000000.0,3140000000.0,0.44,1.0,-6.5,1870000000.0,2.82,21090000000.0,441.49,1.06,3.82,2080000000.0,-410120000.0,nan,664770000.0,0.57,4.14,0.55,4.0,3.69,125.64,292000000.0,30964176896
AESE,Communication Services,Entertainment,3.37,91001000.0,nan,-20.8125,nan,3.516005,1.5502793,3.94,-8.126,-83.69,-75.17,-18.68,-71.06,25880000.0,1.22,-3.0,15610000.0,-12550000.0,-0.758,1.25,nan,4350000.0,0.17,13900000.0,34.06,0.55,2.15,-10300000.0,-5570000.0,nan,27330000.0,nan,nan,nan,nan,nan,0.0,-21660000.0,101974648
AEY,Technology,Electronics & Computer Distribution,4.17,44727000.0,nan,nan,nan,0.7291702,3.2581236,0.555,-4.759,-31.67,-14.47,-14.34,-78.03,61340000.0,5.91,-7.2,9090000.0,-7150000.0,-1.872,nan,nan,4160000.0,0.4,13380000.0,97.47,1.54,1.31,-4790000.0,6540000.0,nan,10470000.0,nan,nan,nan,nan,nan,0.0,-18000000.0,34038212
AEYE,Technology,Software—Application,8.9,79170000.0,nan,-98.88888,nan,6.0710864,494.44446,5.888,-11.084,-56.03,-56.55,-55.0,-333.4,13040000.0,1.55,114.6,6380000.0,-6930000.0,-0.87,0.8261,nan,1780000.0,0.2,908000.0,574.68,0.68,0.02,-4040000.0,-1270000.0,nan,8900000.0,nan,nan,nan,nan,nan,0.0,-7360000.0,76779696
AEZS,Healthcare,Biotechnology,1.21,26863000.0,nan,0.6407865,nan,16.948164,15.841667,11.465,-2.113,-22.21,-541.01,-25.51,nan,1580000.0,0.08,2845.9,122000.0,-8600000.0,-0.019,0.1176,nan,9180000.0,0.39,360000.0,21.34,3.46,0.07,-10160000.0,-5170000.0,nan,23470000.0,nan,nan,nan,nan,nan,0.0,-352000.0,18171686
AFG,Financial Services,Insurance—Property & Casualty,70.58,6213000000.0,23.676825,8.213778,1.49,0.85408276,1.2309116,1.029,9.082,3.67,6.68,0.45,4.46,7270000000.0,80.72,-37.7,1680000000.0,824000000.0,2.92,1.0162,nan,1890000000.0,21.08,2950000000.0,58.47,1.25,56.19,2530000000.0,1030000000.0,nan,89840000.0,1.8,2.4,1.7,2.38,1.47,59.03,267000000.0,7483373568
AFI,Industrials,Building Products & Equipment,4.3,92370000.0,nan,-3.7920353,-0.04,0.14818965,0.3654485,0.194,-8.346,-8.82,-9.76,-6.61,-20.68,623300000.0,27.23,-2.1,85300000.0,-14470000.0,-2.403,0.7073,nan,31900000.0,1.46,72700000.0,28.41,2.04,11.74,nan,nan,nan,21560000.0,nan,nan,nan,nan,nan,0.0,-65500000.0,120806000
AFIN,Real Estate,REIT—Diversified,9.04,957217000.0,nan,8.311321,nan,3.1579785,0.5743683,8.66,14.662,0.6,19.81,1.07,0.11,302770000.0,2.83,4.2,216380000.0,178830000.0,-0.08,-0.1538,nan,175740000.0,1.62,1810000000.0,107.48,4.66,15.36,109250000.0,179680000.0,nan,108530000.0,0.85,9.56,1.1,11.99,nan,nan,-9030000.0,2621928448
AFL,Financial Services,Insurance—Life,39.9,28205000000.0,9.869446,8.794184,5.66,1.2931064,1.0696018,1.547,8.06,13.49,19.02,1.74,11.22,21810000000.0,29.65,-8.8,7760000000.0,4190000000.0000005,3.98,1.1,-39.0,5060000000.0,7.05,9730000000.0,36.84,0.47,36.75,5330000000.0,2450000000.0,nan,717510000.0,1.12,2.79,1.09,2.71,2.28,27.39,2940000000.0,33746595840
AFMD,Healthcare,Biotechnology,3.32,250938000.0,nan,-8.2275,nan,nan,4.919282,nan,nan,-151.17,0.0,-17.86,-82.15,nan,nan,-82.7,21410000.0,nan,-0.717,1.0,nan,nan,nan,nan,8.24,3.01,0.67,nan,nan,nan,76250000.0,nan,nan,nan,nan,nan,0.0,nan,265349648
AFYA,Consumer Defensive,Education & Training Services,22.0,2023000000.0000002,nan,5.2919707,13.51,nan,nan,nan,nan,24.16,0.0,5.88,12.44,nan,nan,88.3,441780000.0,nan,nan,1.2609,140.3,nan,nan,nan,16.94,3.75,nan,nan,nan,nan,44970000.0,nan,nan,nan,nan,nan,0.0,nan,1923338368
AG,Basic Materials,Silver,9.94,2023000000.0000002,nan,137.85713,1.96,5.5730762,3.130068,5.655,21.611,-20.87,2.06,0.47,-11.85,363200000.0,1.77,-0.9,127460000.0,95040000.0,-0.37,2.0,nan,152100000.0,0.73,168150000.0,26.03,2.66,3.08,119360000.0,17420000.0,nan,209660000.0,nan,nan,nan,nan,nan,0.0,-75790000.0,2053987840
AGCO,Industrials,Farm & Heavy Construction Machinery,61.43,4434000000.0,36.309013,15.381819,5.54,0.49406293,1.6779532,0.715,8.006,1.39,5.92,4.17,4.32,8970000000.0,118.27,-3.4,1980000000.0,801400000.0,1.63,2.0476,-0.6,386700000.0,5.16,2040000000.0,75.69,1.49,35.29,590500000.0,404800000.0,nan,74870000.0,0.64,1.01,0.64,1.04,0.92,39.02,124800000.0,6415618048
AGEN,Healthcare,Biotechnology,3.75,651944000.0,nan,-3.39823,nan,7.6442943,nan,7.182,-5.173,-200.31,-146.73,-36.72,nan,85280000.0,0.61,-81.1,-18290000.0,-118410000.0,-1.232,0.9394,nan,92280000.0,0.54,30820000.0,nan,0.81,-1.2,-129770000.00000001,-49190000.0,nan,169780000.0,nan,nan,nan,nan,nan,0.0,-171040000.0,612521216
