TICKER,PRICE,CUR_RATIO,CUR_RATIO_AV,CUR_RATIO_CMP_TO_AV,PRICE_TO_BOOK,EARNING_GROWTH_YOY,EARNING_GROWTH_AV,EARNING_GROWTH_CMP_TO_AV,ALTMAN_ZSCORE,DIVIDEND_YIELD
MMM, 194.22, 1.857291531156498, 1.833216326000679, 0.024075205155818846, 10.924792205826165, -0.037366548042704624, 0.23586350543664966, -0.2732300534793543, 1.8605649122249799, 0.028399999999999998
ABT, 70.97, 2.2606597845601435, 2.2538307538356617, 0.006829030724481822, 1.6209165728178319, -0.6679209783631233, 1.2168703415351632, -1.8847913198982864, 0.6714153827653914, 0.0182
ABBV, 88.86, 1.2753440298059011, nan, nan, 19.330819200247035, -0.10818074920208298, -0.39463333177288307, 0.2864525825708001, 1.078675546855303, 0.049100000000000005
ACN, 149.5, 1.3382478549759544, 1.532995464085175, -0.19474760910922062, 9.024753146078412, 0.15946983327335973, -3.102856223199346, 3.262326056472706, 2.821021374347576, 0.0196
AAP, 166.67, 1.559408257873272, 1.559408257873272, 0.0, 3.1027969582604307, 0.03455665742719017, 1.0345566574271903, -1.0, 1.7172387292999511, 0.0014000000000000002
AES, 15.57, 1.0613802256138023, nan, nan, 1.1458491832624749, -1.774869109947644, -0.1989247311827957, -1.5759443787648482, 0.551714829171695, 0.0352
AMG, 107.27, 1.6372748895684675, 3.7042987746103333, -2.067023885041866, 1.5634648036551773, 0.36495263870094724, 1.2249034760529998, -0.8599508373520526, 0.7854381229431884, 0.011200000000000002
AFL, 47.59, 0.4359972677595628, nan, nan, 1.39614505957999, 0.7314779992478375, 1.0849136200906722, -0.35343562084283464, 0.2396807546914279, 0.022000000000000002
A, 71.44, 3.286080273270709, 2.2538307538356617, 1.0322495194350472, 5.091497946489184, -0.5380116959064327, 1.2168703415351632, -1.7548820374415959, 1.3652412017304587, 0.009300000000000001
APD, 157.87, 2.173459350810418, 1.6772080735520536, 0.49625127725836427, 3.1052606878669513, 0.2904259002770083, 0.9400225771831371, -0.6495966769061288, 1.0855879405376125, 0.0282
ALK, 64.79, 0.7948148148148149, 0.6173616932359995, 0.17745312157881532, 2.770271357150475, 0.2702702702702703, 1.0602793697780433, -0.790009099507773, 1.233458098223948, 0.0199
ALB, 75.49, 2.0630455690405314, 1.851588995265958, 0.21145657377457328, 0.6308053344017728, -0.7921853258621339, 1.2487415294801019, -2.040926855342236, 0.9019149447394713, 0.0178
ARE, 123.95, 1.7826500071262292, 3.5482943954945076, -1.7656443883682784, 0.8687260433686909, 4.8997570232333985, -0.517465094551007, 5.417222117784405, 0.23656570433797416, 0.0316
ALLE, 83.05, 2.2411024305555554, 2.4624523102639033, -0.22134987970834796, 17.442479693078283, 0.1967993079584775, 1.2744743456225605, -1.077675037664083, 2.027772153291586, 0.0103
AGN, 158.74, 1.1552177577400717, nan, nan, -1.21670858312664, -2.974331550802139, -0.39463333177288307, -2.5796982190292557, 0.10407122227363484, 0.0184
ADS, 172.07, 2.43484088422837, inf, -inf, 4.269674711589425, 0.5237635239567233, 1.5519058347009649, -1.0281423107442416, 1.002928740592259, 0.013500000000000002
LNT, 43.16, 0.42117263843648206, 0.6377961112310029, -0.21662347279452082, 2.0054172214693944, 0.21963616907437133, 0.968652376940786, -0.7490162078664147, 0.3307876751397425, 0.0334
ALL, 85.42, 0.6932606541129831, 0.67182882825369, 0.021431825859293152, 1.1869392921294157, 0.6989877464038359, -2.461484495902262, 3.160472242306098, 0.4299549637715917, 0.0218
MO, 47.36, 0.6395759717314488, 0.9962069809791188, -0.35663100924767, 5.578871791738831, -0.2820134793597304, 0.796303605147721, -1.0783170845074515, 1.477346779417545, 0.068
AEE, 67.35, 0.5482993197278911, 0.8043503902413289, -0.2560510705134378, 1.7399811585858098, -0.19726858877086495, 1.2970752610614507, -1.4943438498323156, 0.383087442832167, 0.028300000000000002
AAL, 33.76, 0.6112002138465651, 0.6173616932359995, -0.006161479389434454, 6.7685153184612625, -0.2828849028400598, 1.0602793697780433, -1.343164272618103, 1.044104515215323, 0.012199999999999999
AEP, 76.23, 0.5141997025860505, 0.6377961112310029, -0.12359640864495236, 2.022420234913168, 2.108622078968574, 0.968652376940786, 1.139969702027788, 0.38094141238133417, 0.0353
AXP, 99.85, 2.219178082191781, 1.1371411720259779, 1.082036910165803, 7.565487059905412, 1.5296052631578947, 0.8587207752763935, 0.6708844878815012, 0.8123429474511294, 0.015700000000000002
AIG, 43.78, 0.5917532731802706, 0.67182882825369, -0.08007555507341935, 0.6034469589905047, -22.397683397683398, -2.461484495902262, -19.936198901781136, 0.0026658798498776642, 0.0297
AMT, 164.52, 0.8109151705744199, 1.1805296464673631, -0.3696144758929433, 9.513939596159275, 0.2627782357790602, 1.336934660024726, -1.0741564242456658, 0.4624215949183036, 0.0204
AWK, 92.42, 0.3096774193548387, 0.3096774193548387, 0.0, 2.896679895289345, -0.08974358974358974, 0.9102564102564102, -1.0, 0.3090592535824481, 0.0197
AMP, 119.89, 2.491346629306082, 3.7042987746103333, -1.2129521453042513, 2.5643834583788676, 0.1263318112633181, 1.2249034760529998, -1.0985716647896817, 0.2395571711845072, 0.0304
ABC, 79.25, 0.9291231724274478, inf, -inf, 5.5759945356199365, 3.433368817286904, 0.4162314782319822, 3.017137339054922, 4.600248855422101, 0.021
AME, 71.73, 1.6990584571554534, 1.760146566451259, -0.06108810929580555, 3.5097217998303414, 0.33058548338598637, 1.2619761206561495, -0.9313906372701631, 1.1935591984466951, 0.0079
